,GeoFips,GeoName,2022
287,13211,"Morgan, GA",0.7991666666666666
288,28009,"Benton, MS",0.7985602151003945
289,53055,"San Juan, WA",0.7982246979381651
290,46123,"Tripp, SD",0.7975002051254001
291,18121,"Parke, IN",0.7960120499211016
292,37131,"Northampton, NC",0.7958059892886777
293,31017,"Brown, NE",0.7957146884691289
294,13235,"Pulaski, GA",0.7955590592563395
295,21207,"Russell, KY",0.7954368863459773
296,46029,"Codington, SD",0.7952716164165228
297,21153,"Magoffin, KY",0.7941840277777779
298,48075,"Childress, TX",0.7935817131700968
299,5013,"Calhoun, AR",0.7932573128408527
300,38009,"Bottineau, ND",0.7929541782201919
301,13057,"Cherokee, GA",0.7925192161957346
302,49029,"Morgan, UT",0.7921320263842535
303,27127,"Redwood, MN",0.7921270885218947
304,27011,"Big Stone, MN",0.7914763302284038
305,32031,"Washoe, NV",0.7905744754041968
306,38025,"Dunn, ND",0.7887387123827356
307,12086,"Miami-Dade, FL",0.7878756233193223
308,32017,"Lincoln, NV",0.7877940147973646
309,48149,"Fayette, TX",0.7876157996538735
310,27121,"Pope, MN",0.7863908973712237
311,19055,"Delaware, IA",0.7861559651847727
312,37097,"Iredell, NC",0.7857994069229277
313,46117,"Stanley, SD",0.785366383996521
314,13077,"Coweta, GA",0.7850509019467762
315,45053,"Jasper, SC",0.7846794482519301
316,46081,"Lawrence, SD",0.7846052804413504
317,19159,"Ringgold, IA",0.7843918225098796
318,48359,"Oldham, TX",0.7838661640839499
319,41049,"Morrow, OR",0.7825242718446601
320,37019,"Brunswick, NC",0.7813674847938381
321,40001,"Adair, OK",0.7811217510259918
322,4011,"Greenlee, AZ",0.781000558420655
323,21113,"Jessamine, KY",0.7802019583843329
324,29085,"Hickory, MO",0.7800245935237053
325,45057,"Lancaster, SC",0.7793324070184509
326,37037,"Chatham, NC",0.7788903260336293
327,30029,"Flathead, MT",0.7779030122009636
328,48031,"Blanco, TX",0.7772851865093553
329,5025,"Cleveland, AR",0.7762751829120289
330,48383,"Reagan, TX",0.7751387528566764
331,41067,"Washington, OR",0.7743495502466389
332,48125,"Dickens, TX",0.7730233935445663
333,37021,"Buncombe, NC",0.772479917076963
334,6013,"Contra Costa, CA",0.7722399358579926
335,8021,"Conejos, CO",0.7719757734490096
336,40147,"Washington, OK",0.7718476043447098
337,37015,"Bertie, NC",0.771820985440723
338,48475,"Ward, TX",0.7714896049583295
339,13231,"Pike, GA",0.7712269917222592
340,18175,"Washington, IN",0.7710422092981768
341,5149,"Yell, AR",0.7709045569722077
342,4025,"Yavapai, AZ",0.7699753728280203
343,29143,"New Madrid, MO",0.769807912744451
344,8005,"Arapahoe, CO",0.7695322464692378
345,19147,"Palo Alto, IA",0.7692955985101813
346,8001,"Adams, CO",0.7692108583815964
347,53007,"Chelan, WA",0.7686642965972574
348,6087,"Santa Cruz, CA",0.7682165305161435
349,18011,"Boone, IN",0.7680539976018257
350,51125,"Nelson, VA",0.7680363049837338
351,47117,"Marshall, TN",0.7670208867717112
352,28135,"Tallahatchie, MS",0.7663757464400551
353,55127,"Walworth, WI",0.7663199325274108
354,8059,"Jefferson, CO",0.7659654561558902
355,13219,"Oconee, GA",0.7659071319645501
356,41021,"Gilliam, OR",0.7658090395768926
357,17149,"Pike, IL",0.7647981560329098
358,48225,"Houston, TX",0.764109934796326
359,42067,"Juniata, PA",0.763949433304272
360,31163,"Sherman, NE",0.7634199812088944
361,54107,"Wood, WV",0.7631499395405079
362,26029,"Charlevoix, MI",0.7626576421753959
363,31043,"Dakota, NE",0.7615625948790608
364,38049,"McHenry, ND",0.7612571094575455
365,13241,"Rabun, GA",0.7612276455560039
366,48121,"Denton, TX",0.760564046751526
367,30039,"Granite, MT",0.7604189395592407
368,13013,"Barrow, GA",0.7599460552933244
369,46077,"Kingsbury, SD",0.759807884350183
370,16001,"Ada, ID",0.7595197166223888
371,8123,"Weld, CO",0.7592205152728795
372,55019,"Clark, WI",0.7579916489835032
373,17139,"Moultrie, IL",0.7573060480762492
374,48209,"Hays, TX",0.7572736044913595
375,49027,"Millard, UT",0.7572002679169458
376,45065,"McCormick, SC",0.7563726424080777
377,47189,"Wilson, TN",0.7563566748456332
378,10005,"Sussex, DE",0.756211641928245
379,19009,"Audubon, IA",0.755047619047619
380,48491,"Williamson, TX",0.7548591309807204
381,41051,"Multnomah, OR",0.7537605294825511
382,37173,"Swain, NC",0.7537105119825709
383,53011,"Clark, WA",0.7533315493711534
384,48387,"Red River, TX",0.7532143794279718
385,4013,"Maricopa, AZ",0.7530662983425414
386,18057,"Hamilton, IN",0.7516097168361748
387,19077,"Guthrie, IA",0.7515708693860734
388,45091,"York, SC",0.7509276024815221
389,18105,"Monroe, IN",0.7501528166521894
390,18151,"Steuben, IN",0.75
391,13011,"Banks, GA",0.7498155268165754
392,19083,"Hardin, IA",0.7498097509005124
393,38073,"Ransom, ND",0.7494245314041434
394,19051,"Davis, IA",0.7494078635717669
395,18113,"Noble, IN",0.7484410381466644
396,8045,"Garfield, CO",0.7470331541695492
397,17187,"Warren, IL",0.7463816100652729
398,26139,"Ottawa, MI",0.7461153240806981
399,47155,"Sevier, TN",0.7458646117053078
400,31175,"Valley, NE",0.7457295117384415
401,41033,"Josephine, OR",0.7454411617091043
402,30107,"Wheatland, MT",0.7454259737344258
403,19053,"Decatur, IA",0.745121090994592
404,48319,"Mason, TX",0.7447288200177824
405,41047,"Marion, OR",0.7447040348684422
406,19033,"Cerro Gordo, IA",0.7439532729518321
407,47003,"Bedford, TN",0.7438570639160067
408,21053,"Clinton, KY",0.7435825669732108
409,31155,"Saunders, NE",0.7431965962912419
