,County,Total Owner-Occupied Units,Mort=Y,Mort=N,Mort/Income <10%,Mort/Income 10-14.9%,Mort/Income 15-19.9%,Mort/Income 20-24.9%,Mort/Income 25-29.9%,Mort/Income 30-34.9%,Mort/Income 35-39.9%,Mort/Income 40-49.9%,Mort/Income >=50%,GEO_ID
77,"Solano County, California",102884,73883,3244,9303,12845,10849,8172,7006,4094,6373,11755,242,0500000US06095
78,"Sonoma County, California",119655,75312,6183,9116,12187,10706,7770,7199,4262,5482,12290,117,0500000US06097
79,"Stanislaus County, California",109921,72664,5015,13152,11275,10101,7208,5615,4192,4309,11174,623,0500000US06099
80,"Sutter County, California",20407,12268,760,1500,2614,1045,1406,876,1632,761,1674,0,0500000US06101
81,"Tehama County, California",15378,9516,385,630,1837,1025,1449,726,1334,798,1286,46,0500000US06103
82,"Tulare County, California",83709,54800,5816,8081,8850,10204,4210,3687,3459,3251,7113,129,0500000US06107
83,"Ventura County, California",182466,127729,8566,14255,19531,19021,15801,9776,7774,8699,22923,1383,0500000US06111
84,"Yolo County, California",42387,28088,2408,3994,5241,5552,3098,1599,1389,1257,3527,23,0500000US06113
85,"Yuba County, California",19487,13528,507,1242,2922,2169,912,1085,621,1616,2319,135,0500000US06115
86,"Adams County, Colorado",134864,97042,4728,16321,18315,14234,11897,8620,4904,7541,10482,0,0500000US08001
87,"Arapahoe County, Colorado",166036,120738,11020,18713,23950,19055,12661,7253,5894,8184,13416,592,0500000US08005
88,"Boulder County, Colorado",84061,55814,5452,11857,10304,7084,5415,2954,3566,2945,6237,0,0500000US08013
89,"Broomfield County, Colorado",19754,13103,1514,3095,2969,1503,1144,742,562,637,937,0,0500000US08014
90,"Denver County, Colorado",166123,125626,11116,20982,22616,19169,12202,8106,5983,7861,16732,859,0500000US08031
91,"Douglas County, Colorado",110030,84996,8240,14697,19514,14280,8136,5155,2898,3996,7857,223,0500000US08035
92,"El Paso County, Colorado",188822,132378,10515,22091,24511,21763,15877,8375,6828,7538,14244,636,0500000US08041
93,"Jefferson County, Colorado",171284,120144,10421,21992,24632,18994,14209,7715,5347,5875,10314,645,0500000US08059
94,"Larimer County, Colorado",98747,67284,6097,10329,14938,9478,6759,5427,3611,3222,7070,353,0500000US08069
95,"Mesa County, Colorado",49793,34405,2191,5606,6904,4904,2695,2062,1751,2313,5979,0,0500000US08077
96,"Pueblo County, Colorado",46844,27928,1301,3579,6434,4933,2536,1851,1305,2132,3712,145,0500000US08101
97,"Weld County, Colorado",95218,68899,5203,10223,13035,12647,8011,4458,3825,2515,8526,456,0500000US08123
98,"Capitol Planning Region, Connecticut",254833,163293,12151,31605,36261,25528,17311,10835,5043,7596,16725,238,0500000US09110
99,"Greater Bridgeport Planning Region, Connecticut",79174,50246,2280,7275,8123,6460,6378,3509,3986,2772,9335,128,0500000US09120
100,"Lower Connecticut River Valley Planning Region, Connecticut",56944,35648,3125,5814,6308,5700,4575,1708,2383,2534,3474,27,0500000US09130
101,"Naugatuck Valley Planning Region, Connecticut",119376,78693,4713,11605,13301,12685,9918,7554,4134,5041,9220,522,0500000US09140
102,"Northeastern Connecticut Planning Region, Connecticut",30566,20569,986,3330,4084,3325,1878,1757,1754,1277,2178,0,0500000US09150
103,"Northwest Hills Planning Region, Connecticut",36769,22191,1365,4016,3614,3475,2868,1005,1383,2052,2357,56,0500000US09160
104,"South Central Connecticut Planning Region, Connecticut",139704,89339,6810,13735,18575,13535,9118,7007,4670,4805,10771,313,0500000US09170
105,"Southeastern Connecticut Planning Region, Connecticut",75793,44468,2584,7887,9321,8826,5100,2228,2209,2172,3987,154,0500000US09180
106,"Western Connecticut Planning Region, Connecticut",156680,108697,9661,18096,19706,16914,9005,8148,5224,5897,14964,1082,0500000US09190
107,"Kent County, Delaware",54392,36667,2895,6728,7892,5703,4504,1706,1123,2421,3668,27,0500000US10001
108,"New Castle County, Delaware",156317,103137,11420,22119,21043,13140,8926,7738,3517,4223,10107,904,0500000US10003
109,"Sussex County, Delaware",87366,48332,5338,11117,9180,6663,5151,2072,1207,2890,4632,82,0500000US10005
110,"District of Columbia, District of Columbia",134120,99094,10834,16968,19634,13243,11545,6655,4348,4772,10489,606,0500000US11001
111,"Alachua County, Florida",62968,37339,2630,7537,9136,3835,3383,2686,1269,2814,3993,56,0500000US12001
112,"Bay County, Florida",52343,30086,2662,5002,4789,4801,4392,2616,1707,1373,2744,0,0500000US12005
113,"Brevard County, Florida",194909,113760,9453,20423,23168,18540,9555,6284,5259,6745,14052,281,0500000US12009
114,"Broward County, Florida",471737,275335,14260,31399,46781,36136,32284,22740,16486,21712,50060,3477,0500000US12011
115,"Charlotte County, Florida",75169,32557,2218,3794,4930,4849,3799,2906,1851,2784,5342,84,0500000US12015
116,"Citrus County, Florida",62133,28956,2062,4880,4814,3293,3595,1781,1676,3036,3660,159,0500000US12017
117,"Clay County, Florida",65089,45241,5387,9014,10487,5222,3947,2052,2211,1607,4878,436,0500000US12019
118,"Collier County, Florida",125968,60383,4514,7544,10743,8695,5439,4549,2824,3253,12553,269,0500000US12021
119,"Columbia County, Florida",19569,9594,1120,2349,1501,1537,1076,647,97,111,1021,135,0500000US12023
120,"Duval County, Florida",241189,158180,14577,28490,29797,23575,16362,11418,7510,8375,17139,937,0500000US12031
121,"Escambia County, Florida",84123,46814,3574,7509,8975,8659,5429,3225,1829,2391,4829,394,0500000US12033
122,"Flagler County, Florida",45087,24486,2045,3138,5113,3674,2334,1706,1925,1251,3102,198,0500000US12035
123,"Hernando County, Florida",65667,35596,3219,6125,5082,6046,3328,2848,1850,2790,3891,417,0500000US12053
124,"Highlands County, Florida",38126,14774,1701,2605,2952,2151,842,1019,83,950,2367,104,0500000US12055
125,"Hillsborough County, Florida",356946,232688,20195,38778,45660,32796,22515,15149,12029,14803,29699,1064,0500000US12057
126,"Indian River County, Florida",58017,26045,2503,5005,4393,3561,2567,1853,1455,822,3886,0,0500000US12061
127,"Lake County, Florida",126460,70287,5816,10994,13464,9453,8093,6884,3624,4881,6932,146,0500000US12069
128,"Lee County, Florida",250958,128907,8846,19929,21444,18351,14800,10579,7676,8243,18409,630,0500000US12071
129,"Leon County, Florida",62717,38865,4361,7864,7241,5154,4461,2278,959,2136,3815,596,0500000US12073
130,"Manatee County, Florida",130775,64132,5337,9276,11231,9827,5878,5348,3553,5425,7604,653,0500000US12081
131,"Marion County, Florida",128360,61750,4466,9912,11767,8371,6343,3753,2423,5431,8566,718,0500000US12083
132,"Martin County, Florida",54479,26200,2880,3584,4916,3044,2144,2053,1701,2108,3694,76,0500000US12085
133,"Miami-Dade County, Florida",507879,292430,20674,33653,39518,39862,28285,25720,17083,25010,60212,2413,0500000US12086
134,"Monroe County, Florida",21799,9685,533,792,1349,1007,1251,1121,399,754,2414,65,0500000US12087
135,"Nassau County, Florida",35887,22844,2116,4398,4485,4262,2162,870,801,1347,2203,200,0500000US12089
136,"Okaloosa County, Florida",59910,37224,2782,5278,6767,6302,4918,2835,2337,2379,3626,0,0500000US12091
137,"Orange County, Florida",309113,203613,17856,34328,35167,32042,20240,13711,7965,11740,28566,1998,0500000US12095
138,"Osceola County, Florida",94771,67526,3371,7418,12282,10730,5863,5392,4635,5715,11297,823,0500000US12097
139,"Palm Beach County, Florida",423738,223456,17782,26004,37874,28759,24968,18710,11905,14752,41175,1527,0500000US12099
140,"Pasco County, Florida",177652,102309,7172,19589,18850,13609,11284,6891,6414,5754,12229,517,0500000US12101
141,"Pinellas County, Florida",290258,152304,13290,23462,26468,21181,16185,11584,9077,8688,20566,1803,0500000US12103
142,"Polk County, Florida",206975,117541,8460,18578,19429,17453,12080,10436,6672,7270,16153,1010,0500000US12105
143,"Putnam County, Florida",24749,9015,1252,1437,917,1252,679,1312,366,416,1384,0,0500000US12107
144,"St. Johns County, Florida",101231,66294,4302,11023,14870,9633,6507,5894,2148,2611,8868,438,0500000US12109
145,"St. Lucie County, Florida",106953,60507,2865,6450,10195,7823,8998,5718,3526,3489,11210,233,0500000US12111
146,"Santa Rosa County, Florida",58491,37090,3510,7978,7138,3941,4030,3323,2111,1445,3292,322,0500000US12113
147,"Sarasota County, Florida",163504,79058,7726,11853,11988,10356,9296,5416,4740,6058,11074,551,0500000US12115
148,"Seminole County, Florida",122575,80983,7445,13419,15909,12355,8003,7132,4209,4143,7832,536,0500000US12117
149,"Sumter County, Florida",63509,27739,2249,3479,4663,3573,2205,2063,2573,1724,4915,295,0500000US12119
150,"Volusia County, Florida",177892,96891,7336,17151,16815,14424,9344,7012,3990,5618,14660,541,0500000US12127
151,"Walton County, Florida",27555,14920,708,2286,2444,2216,2402,1676,363,1428,1397,0,0500000US12131
152,"Barrow County, Georgia",24646,17391,1354,3543,3660,2238,1911,1163,562,1523,1136,301,0500000US13013
153,"Bartow County, Georgia",29569,18395,1802,3884,5610,2305,938,651,573,1163,1374,95,0500000US13015
154,"Bibb County, Georgia",32352,18914,2288,3771,3457,2455,1855,759,643,1493,2016,177,0500000US13021
155,"Bulloch County, Georgia",14902,8327,999,1925,1576,1394,648,122,616,538,509,0,0500000US13031
156,"Carroll County, Georgia",30881,19524,2189,3538,3995,3509,1634,1339,267,788,2160,105,0500000US13045
157,"Catoosa County, Georgia",20032,11471,1183,2675,2204,1482,1443,833,452,302,862,35,0500000US13047
158,"Chatham County, Georgia",68525,44566,3901,6949,7266,7122,3372,3754,3295,2322,6317,268,0500000US13051
159,"Cherokee County, Georgia",80350,59101,7211,12192,11156,9254,5577,3149,1734,2587,5852,389,0500000US13057
160,"Clarke County, Georgia",21325,12717,879,2347,3213,1518,1350,341,444,1085,1391,149,0500000US13059
161,"Clayton County, Georgia",57148,40345,2992,5506,8522,6959,4077,2639,2234,1637,5553,226,0500000US13063
162,"Cobb County, Georgia",198996,140539,17717,31278,29127,20637,12203,8676,4954,4981,10520,446,0500000US13067
163,"Columbia County, Georgia",43158,29393,1954,7173,7713,4276,2034,1959,630,1601,1762,291,0500000US13073
164,"Coweta County, Georgia",43554,29747,2608,5159,7363,4703,2877,1711,669,1414,3152,91,0500000US13077
165,"DeKalb County, Georgia",168212,118456,12776,23624,19970,17118,11563,7055,4732,6507,13979,1132,0500000US13089
166,"Dougherty County, Georgia",17104,9399,1133,915,1756,735,901,903,586,747,1696,27,0500000US13095
167,"Douglas County, Georgia",37135,25942,2523,4201,6065,4305,1933,2356,1682,702,1828,347,0500000US13097
168,"Effingham County, Georgia",19159,13342,1793,2361,3590,1716,1183,416,997,378,812,96,0500000US13103
169,"Fayette County, Georgia",35793,23975,2649,5272,5897,3223,1296,1749,970,754,2165,0,0500000US13113
170,"Floyd County, Georgia",24786,14844,1661,3915,2662,1727,1077,710,932,892,1174,94,0500000US13115
171,"Forsyth County, Georgia",76821,58758,6744,11523,14241,7960,5431,3185,1815,2526,5252,81,0500000US13117
172,"Fulton County, Georgia",257609,183781,22140,40252,36951,25385,15940,9228,7058,8054,18048,725,0500000US13121
173,"Glynn County, Georgia",24363,12021,1621,2703,2197,1408,880,554,566,783,1082,227,0500000US13127
