,County,Total Owner-Occupied Units,Mort=Y,Mort=N,Mort/Income <10%,Mort/Income 10-14.9%,Mort/Income 15-19.9%,Mort/Income 20-24.9%,Mort/Income 25-29.9%,Mort/Income 30-34.9%,Mort/Income 35-39.9%,Mort/Income 40-49.9%,Mort/Income >=50%,GEO_ID
485,"Suffolk County, New York",418075,265199,14476,29426,41817,43748,29800,27045,15833,21536,40830,688,0500000US36103
486,"Sullivan County, New York",21777,11139,1061,1453,2333,1746,1391,668,545,675,1267,0,0500000US36105
487,"Tompkins County, New York",23707,12171,889,2221,2422,1937,1910,1196,341,583,617,55,0500000US36109
488,"Ulster County, New York",50850,30126,3010,3819,6882,3881,2013,2478,1587,2099,4357,0,0500000US36111
489,"Warren County, New York",22111,12493,977,2271,2267,1746,1254,841,522,859,1756,0,0500000US36113
490,"Wayne County, New York",30337,19839,1619,4371,3935,3186,1319,533,1318,928,2560,70,0500000US36117
491,"Westchester County, New York",233898,143602,13894,20247,24263,21367,14867,9087,8283,10549,20452,593,0500000US36119
492,"Alamance County, North Carolina",43808,26847,2706,6639,6666,3527,2319,1659,796,1133,1394,8,0500000US37001
493,"Brunswick County, North Carolina",58916,35808,2987,7022,5650,4562,5163,2378,1383,2001,4652,10,0500000US37019
494,"Buncombe County, North Carolina",67595,39837,3957,6752,7742,6493,4336,2531,1473,1923,4425,205,0500000US37021
495,"Burke County, North Carolina",29331,16410,1557,3242,4115,2274,892,787,789,759,1995,0,0500000US37023
496,"Cabarrus County, North Carolina",60325,41928,5470,10538,9617,3947,2982,2855,2598,1502,2272,147,0500000US37025
497,"Caldwell County, North Carolina",24513,13421,1374,2039,3202,2157,1586,1125,519,234,1100,85,0500000US37027
498,"Carteret County, North Carolina",22627,11950,1110,1840,2925,1364,1567,604,584,646,1281,29,0500000US37031
499,"Catawba County, North Carolina",49384,29683,4030,7041,5120,4733,3041,1750,692,1028,2064,184,0500000US37035
500,"Chatham County, North Carolina",26637,15143,1920,1840,3250,3397,1711,592,541,734,1158,0,0500000US37037
501,"Cleveland County, North Carolina",27155,13543,1737,2959,2285,1226,1006,1385,697,854,1287,107,0500000US37045
502,"Craven County, North Carolina",30806,19126,2727,4021,3202,2037,2044,923,968,1182,1871,151,0500000US37049
503,"Cumberland County, North Carolina",73472,47769,4850,9278,8683,6010,5135,3770,1936,2933,5018,156,0500000US37051
504,"Davidson County, North Carolina",50518,28999,4946,5725,4865,3724,3204,1659,969,1312,2535,60,0500000US37057
505,"Durham County, North Carolina",77779,55510,7149,15153,8602,7891,5206,2436,1735,2123,4778,437,0500000US37063
506,"Forsyth County, North Carolina",98287,60816,8797,12582,11931,8519,4072,3188,2207,3226,6067,227,0500000US37067
507,"Franklin County, North Carolina",22593,13914,1751,3312,3290,2001,1236,353,375,599,997,0,0500000US37069
508,"Gaston County, North Carolina",65588,41341,4348,9821,8158,5491,3846,2654,1419,1701,3852,51,0500000US37071
509,"Guilford County, North Carolina",131873,85858,10239,19512,17086,10094,7201,5419,3822,4064,7243,1178,0500000US37081
510,"Harnett County, North Carolina",36821,24492,2622,4609,3989,4615,1266,1498,825,1198,3440,430,0500000US37085
511,"Henderson County, North Carolina",38326,20340,2375,4345,3254,3047,1700,1187,1107,844,2390,91,0500000US37089
512,"Iredell County, North Carolina",52860,33809,4463,6860,6426,5517,3119,1516,1071,1690,3102,45,0500000US37097
513,"Johnston County, North Carolina",67768,46682,5262,11342,10095,7080,4701,1829,993,2091,3209,80,0500000US37101
514,"Lee County, North Carolina",15717,10393,767,2420,2392,1104,1143,388,116,743,1242,78,0500000US37105
515,"Lincoln County, North Carolina",30605,19379,1989,5722,3486,2453,1180,1349,415,596,1945,244,0500000US37109
516,"Mecklenburg County, North Carolina",259016,193070,28620,45150,36320,24063,15472,10270,6695,8022,17279,1179,0500000US37119
517,"Moore County, North Carolina",34510,20251,2824,4105,3834,3459,1778,923,1304,470,1471,83,0500000US37125
518,"Nash County, North Carolina",24393,14334,1653,3091,3268,1593,1165,1150,599,1002,779,34,0500000US37127
519,"New Hanover County, North Carolina",64449,41417,3991,6483,7517,6922,3994,3200,1238,2728,5344,0,0500000US37129
520,"Onslow County, North Carolina",48643,34899,3251,6503,5993,5269,3957,2466,2044,3352,1876,188,0500000US37133
521,"Orange County, North Carolina",39009,23458,3246,4084,6043,3066,1654,1586,1007,987,1741,44,0500000US37135
522,"Pender County, North Carolina",22476,14678,1184,2024,2722,3118,1356,584,241,1035,2352,62,0500000US37141
523,"Pitt County, North Carolina",39591,24980,1835,5603,4646,5180,2644,778,1195,1223,1876,0,0500000US37147
524,"Randolph County, North Carolina",43406,24992,2508,5567,4325,3672,1839,2205,761,896,3049,170,0500000US37151
525,"Robeson County, North Carolina",28807,10390,975,1686,1847,1384,986,914,467,440,1418,273,0500000US37155
526,"Rockingham County, North Carolina",29078,14251,1747,3968,1912,1168,1303,756,439,1017,1796,145,0500000US37157
527,"Rowan County, North Carolina",43983,27815,3473,6829,5902,3782,1547,1214,593,1616,2859,0,0500000US37159
528,"Surry County, North Carolina",22616,10871,1205,2910,2112,1191,620,510,327,529,1188,279,0500000US37171
529,"Union County, North Carolina",67993,47615,4980,11705,10463,6707,3753,1541,1806,2318,3809,533,0500000US37179
530,"Wake County, North Carolina",288778,212064,24412,50428,49647,27780,17489,11005,7389,7385,16007,522,0500000US37183
531,"Wayne County, North Carolina",28807,15660,1683,2642,3080,2651,1726,637,616,185,2440,0,0500000US37191
532,"Wilkes County, North Carolina",19719,8670,518,2377,1235,1187,933,567,284,447,1082,40,0500000US37193
533,"Wilson County, North Carolina",20798,12074,663,2254,2674,1987,938,290,887,590,1791,0,0500000US37195
534,"Burleigh County, North Dakota",29921,17544,394,3084,3704,4423,1407,1179,867,519,1967,0,0500000US38015
535,"Cass County, North Dakota",43943,28281,2083,5468,6901,4952,2341,2300,1043,916,2277,0,0500000US38017
536,"Grand Forks County, North Dakota",17225,10145,692,2188,2101,1660,889,371,664,750,830,0,0500000US38035
537,"Ward County, North Dakota",19290,11475,1132,1696,1862,3170,798,756,882,317,814,48,0500000US38101
538,"Allen County, Ohio",28010,15481,1805,4625,3379,1722,1314,449,451,643,1034,59,0500000US39003
539,"Ashtabula County, Ohio",28844,15639,1913,3390,2435,1818,1688,980,948,1136,1307,24,0500000US39007
540,"Belmont County, Ohio",19668,9397,1218,2283,1949,1319,680,243,205,496,1004,0,0500000US39013
541,"Butler County, Ohio",102238,66103,5982,17420,13985,9640,6585,3858,1193,2349,4316,775,0500000US39017
542,"Clark County, Ohio",38091,22049,2215,5421,5019,2367,2258,2028,526,440,1698,77,0500000US39023
543,"Clermont County, Ohio",64425,40882,4847,9541,8229,6608,3666,2177,606,1785,3233,190,0500000US39025
544,"Columbiana County, Ohio",27998,15482,2715,3149,3671,1582,1294,1069,378,672,952,0,0500000US39029
545,"Cuyahoga County, Ohio",330736,195564,21719,41405,37668,27477,17487,10425,7072,9886,21504,921,0500000US39035
546,"Delaware County, Ohio",64168,45627,4217,10404,11372,7341,4465,3100,619,1379,2573,157,0500000US39041
547,"Erie County, Ohio",24544,15309,2108,4071,2875,2740,1364,402,430,340,979,0,0500000US39043
548,"Fairfield County, Ohio",44233,29069,2747,7688,5437,4207,1738,1621,1333,1622,2630,46,0500000US39045
549,"Franklin County, Ohio",288725,198544,20102,39404,43902,32705,18641,11622,6132,8669,16021,1346,0500000US39049
550,"Geauga County, Ohio",31578,18571,2638,3772,4842,3004,1820,478,257,458,1241,61,0500000US39055
551,"Greene County, Ohio",45290,27479,2721,6678,6663,3777,3036,1001,1281,711,1556,55,0500000US39057
552,"Hamilton County, Ohio",214355,143554,15753,31574,30269,19909,12200,6728,5619,7030,13456,1016,0500000US39061
553,"Hancock County, Ohio",21992,12300,1715,3336,2166,2149,967,599,400,397,571,0,0500000US39063
554,"Lake County, Ohio",79159,48716,4891,12174,10374,7089,4657,2002,2255,1743,3470,61,0500000US39085
555,"Licking County, Ohio",52119,34378,3778,6331,7732,5416,3543,1624,1105,2053,2741,55,0500000US39089
556,"Lorain County, Ohio",93945,58324,4155,14620,12008,8355,5327,3293,1928,2662,5811,165,0500000US39093
557,"Lucas County, Ohio",118799,70655,7858,16141,14105,10749,6468,4032,2736,2369,5941,256,0500000US39095
558,"Mahoning County, Ohio",68855,36395,4666,9583,5829,5527,3484,1895,1143,1129,2723,416,0500000US39099
559,"Marion County, Ohio",16615,10336,546,2341,3204,1171,840,359,337,568,970,0,0500000US39101
560,"Medina County, Ohio",57994,37995,4672,7857,10192,5666,3449,1476,891,1168,2396,228,0500000US39103
561,"Miami County, Ohio",33784,21461,2063,6133,5299,3371,1255,877,591,735,1081,56,0500000US39109
562,"Montgomery County, Ohio",147362,88677,8661,21282,17561,14105,9058,5159,3397,2089,7033,332,0500000US39113
563,"Muskingum County, Ohio",23575,13596,1344,3395,3375,1309,767,877,258,637,1634,0,0500000US39119
564,"Portage County, Ohio",46048,26715,3047,6381,6213,3387,2101,1907,408,1686,1545,40,0500000US39133
565,"Richland County, Ohio",34800,18111,1835,3745,4517,2463,595,1287,870,746,1466,587,0500000US39139
566,"Ross County, Ohio",20385,11523,1125,3230,2558,1820,477,461,216,638,998,0,0500000US39141
567,"Scioto County, Ohio",20415,7573,785,2265,1717,1218,131,318,154,348,637,0,0500000US39145
568,"Stark County, Ohio",107204,62144,8560,13719,14463,8953,3878,3435,1979,1719,5367,71,0500000US39151
569,"Summit County, Ohio",155910,98170,11776,22154,21683,12407,9753,5531,3025,3547,7774,520,0500000US39153
570,"Trumbull County, Ohio",60076,31965,3832,6690,7683,3929,2918,1920,786,827,3318,62,0500000US39155
571,"Tuscarawas County, Ohio",27218,15303,2038,3566,3494,2632,1092,903,154,555,852,17,0500000US39157
572,"Union County, Ohio",19684,14032,838,2611,4608,3081,767,590,188,386,963,0,0500000US39159
573,"Warren County, Ohio",76619,53905,5220,14438,13801,7155,3159,2378,2026,1978,3588,162,0500000US39165
574,"Wayne County, Ohio",33792,19030,2421,4550,3858,3042,1649,1225,349,479,1457,0,0500000US39169
575,"Wood County, Ohio",35610,22163,2127,5679,5461,3381,1585,741,688,861,1640,0,0500000US39173
576,"Canadian County, Oklahoma",44431,29475,2660,5032,7327,3931,2900,2584,1274,1484,2233,50,0500000US40017
577,"Cleveland County, Oklahoma",72868,44624,3184,9414,11063,7339,3947,1938,1136,2525,3407,671,0500000US40027
578,"Comanche County, Oklahoma",25637,15774,1561,3432,3381,2167,1439,867,610,564,1589,164,0500000US40031
579,"Creek County, Oklahoma",20102,10242,1019,2116,1892,1481,842,676,555,802,826,33,0500000US40037
580,"Muskogee County, Oklahoma",15880,8017,633,1981,2071,1196,428,257,130,372,921,28,0500000US40101
581,"Oklahoma County, Oklahoma",188292,111099,11663,21695,23137,17101,10319,5609,3875,5621,11635,444,0500000US40109
582,"Payne County, Oklahoma",17074,7886,514,1450,1685,1363,1187,424,162,230,871,0,0500000US40119
583,"Pottawatomie County, Oklahoma",18237,8350,690,1738,1740,1208,734,312,372,616,936,4,0500000US40125
584,"Rogers County, Oklahoma",28193,17069,1930,3388,3339,3051,1616,1282,742,425,1252,44,0500000US40131
585,"Tulsa County, Oklahoma",163750,98708,10537,18976,19978,14259,9387,5993,4355,4157,10424,642,0500000US40143
586,"Wagoner County, Oklahoma",26183,16212,1065,3010,4520,1996,1871,738,648,757,1444,163,0500000US40145
587,"Benton County, Oregon",21842,12090,805,1746,2544,1716,1305,674,913,711,1676,0,0500000US41003
588,"Clackamas County, Oregon",116506,81509,6114,12111,14469,13366,9373,7202,3357,4981,10225,311,0500000US41005
589,"Deschutes County, Oregon",58167,39032,3165,5472,8069,4137,3547,3450,2638,2911,5586,57,0500000US41017
590,"Douglas County, Oregon",33931,17304,1599,3047,2790,2629,1551,1060,985,856,2539,248,0500000US41019
591,"Jackson County, Oregon",59540,39095,2216,6205,7558,6979,3477,3443,1894,2699,4494,130,0500000US41029
592,"Josephine County, Oregon",25902,15455,1244,2044,1437,2093,1638,1383,369,1193,3845,209,0500000US41033
593,"Klamath County, Oregon",20558,11933,1586,1376,2297,2205,615,990,685,802,1311,66,0500000US41035
594,"Lane County, Oregon",96381,59299,3832,8435,9332,10622,6543,6161,3063,3439,7693,179,0500000US41039
595,"Linn County, Oregon",34674,22377,1439,2893,5142,3975,2965,1923,789,1157,2008,86,0500000US41043
596,"Marion County, Oregon",79622,50899,3408,7389,11228,7501,5993,3933,2570,3645,5023,209,0500000US41047
597,"Multnomah County, Oregon",181735,130603,9181,19607,24163,21099,13576,9933,5378,9778,17270,618,0500000US41051
598,"Polk County, Oregon",21680,15564,967,2166,2791,2597,1770,1183,935,534,2530,91,0500000US41053
599,"Umatilla County, Oregon",19773,11556,1012,2785,2735,1950,775,483,206,685,901,24,0500000US41059
600,"Washington County, Oregon",144201,102748,9608,18641,21889,14991,9570,8119,4662,5079,10138,51,0500000US41067
601,"Yamhill County, Oregon",25619,16683,896,2817,3283,1959,2276,1651,738,1082,1981,0,0500000US41071
602,"Adams County, Pennsylvania",31086,18639,1718,3410,4037,2905,1988,1075,702,1146,1574,84,0500000US42001
603,"Allegheny County, Pennsylvania",351979,203457,25129,43965,45547,29212,16400,10869,7184,7645,16607,899,0500000US42003
604,"Armstrong County, Pennsylvania",21633,10802,1646,2450,2023,1284,923,384,746,406,806,134,0500000US42005
605,"Beaver County, Pennsylvania",53390,27773,3052,6137,7008,3065,2494,1112,1132,1013,2708,52,0500000US42007
606,"Berks County, Pennsylvania",116859,71269,5593,14619,13685,10274,7934,4470,2809,4361,7223,301,0500000US42011
607,"Blair County, Pennsylvania",36518,20091,2733,4925,4093,4005,1131,571,549,871,1193,20,0500000US42013
608,"Bucks County, Pennsylvania",195134,128219,10790,23069,27159,21664,11815,8821,6524,6132,12037,208,0500000US42017
609,"Butler County, Pennsylvania",60008,33922,4129,8524,7158,4872,2730,1103,1310,1398,2606,92,0500000US42019
610,"Cambria County, Pennsylvania",41543,17778,3138,4920,3018,2292,1328,967,388,347,1270,110,0500000US42021
611,"Carbon County, Pennsylvania",21546,12206,986,2542,2608,2132,750,686,600,890,948,64,0500000US42025
612,"Centre County, Pennsylvania",36802,22679,2580,4502,5335,3140,1521,1387,1412,855,1921,26,0500000US42027
613,"Chester County, Pennsylvania",156539,106703,10695,21349,23699,16549,11263,6075,3993,4366,8525,189,0500000US42029
614,"Clearfield County, Pennsylvania",25257,12294,1577,3444,2881,1768,917,319,68,168,1136,16,0500000US42033
615,"Crawford County, Pennsylvania",25488,12513,1270,2788,2504,1525,936,662,882,493,1408,45,0500000US42039
616,"Cumberland County, Pennsylvania",75668,47936,4253,7520,10576,6139,5957,3175,3073,2151,4671,421,0500000US42041
617,"Dauphin County, Pennsylvania",76061,46931,4895,9423,9521,6889,5790,3116,1036,1866,4387,8,0500000US42043
618,"Delaware County, Pennsylvania",151606,96229,9382,15839,19591,15280,9272,5787,4193,6258,9939,688,0500000US42045
619,"Erie County, Pennsylvania",77556,38535,3648,8212,8153,5270,3207,3063,1464,2123,3065,330,0500000US42049
620,"Fayette County, Pennsylvania",40990,18527,2269,5277,3279,1974,1032,1008,1005,910,1711,62,0500000US42051
621,"Franklin County, Pennsylvania",47976,30202,2201,5649,6474,5907,2451,2308,1503,1489,2220,0,0500000US42055
622,"Indiana County, Pennsylvania",23332,11027,1393,2115,1731,1464,1045,971,372,483,1392,61,0500000US42063
623,"Lackawanna County, Pennsylvania",56908,30234,3138,5809,6392,4675,2661,1935,987,2054,2469,114,0500000US42069
624,"Lancaster County, Pennsylvania",147859,90638,9894,19691,19733,13135,8470,4239,2736,3927,8357,456,0500000US42071
625,"Lawrence County, Pennsylvania",26605,13286,943,3342,3716,1401,903,705,425,512,1339,0,0500000US42073
626,"Lebanon County, Pennsylvania",40098,24664,2846,4716,5285,3344,2789,844,1130,1104,2410,196,0500000US42075
627,"Lehigh County, Pennsylvania",94241,57941,5293,11132,11309,7861,6191,3109,3425,3651,5871,99,0500000US42077
628,"Luzerne County, Pennsylvania",89664,49235,5553,11172,9284,5444,4133,3643,1576,2337,6001,92,0500000US42079
629,"Lycoming County, Pennsylvania",32765,19150,1514,3508,4521,3182,2955,722,291,872,1555,30,0500000US42081
630,"Mercer County, Pennsylvania",34291,17248,2006,5032,3508,2269,1295,777,796,473,1016,76,0500000US42085
631,"Monroe County, Pennsylvania",47497,28098,3156,4664,5560,3062,3585,1575,1325,1913,2878,380,0500000US42089
632,"Montgomery County, Pennsylvania",238703,155323,16189,34732,31096,21953,14181,9299,5778,8124,13562,409,0500000US42091
633,"Northampton County, Pennsylvania",83848,49076,3541,8783,11987,8637,4823,3057,1559,2592,3918,179,0500000US42095
634,"Northumberland County, Pennsylvania",28618,15309,1317,3348,3935,2175,1022,627,813,765,1209,98,0500000US42097
635,"Philadelphia County, Pennsylvania",353535,208105,24369,38561,38966,21537,17846,9241,10155,12262,31707,3461,0500000US42101
636,"Schuylkill County, Pennsylvania",44993,21500,3210,4821,4483,2478,1536,1361,831,1361,1373,46,0500000US42107
637,"Somerset County, Pennsylvania",23191,10629,1352,2337,2314,969,1100,436,574,588,929,30,0500000US42111
638,"Washington County, Pennsylvania",67673,37411,4933,7616,7865,4167,3973,2435,970,1500,3796,156,0500000US42125
639,"Westmoreland County, Pennsylvania",123867,67615,8045,18213,14221,8771,4938,3661,2452,2566,4594,154,0500000US42129
640,"York County, Pennsylvania",139723,88881,9009,17429,18335,12514,8925,7377,3848,3568,7382,494,0500000US42133
641,"Kent County, Rhode Island",55845,37510,2217,5103,8905,5126,5591,3073,1672,1946,3586,291,0500000US44003
642,"Newport County, Rhode Island",25330,14859,1721,2240,2224,2416,1221,729,1256,945,1931,176,0500000US44005
643,"Providence County, Rhode Island",146374,99064,7843,16510,20078,15455,10690,7044,4310,4580,12484,70,0500000US44007
644,"Washington County, Rhode Island",40064,25201,2259,4583,4775,3880,2792,1302,577,989,4009,35,0500000US44009
645,"Aiken County, South Carolina",55033,30227,3950,7405,4998,4607,2307,1533,552,1598,3224,53,0500000US45003
646,"Anderson County, South Carolina",65460,36129,4974,7018,5366,5586,4072,3087,1551,1303,3021,151,0500000US45007
647,"Beaufort County, South Carolina",60550,34872,4432,6241,5660,5242,2530,1818,1935,2044,4970,0,0500000US45013
648,"Berkeley County, South Carolina",72211,49349,4168,10129,10272,6055,6865,2566,1675,2045,5353,221,0500000US45015
649,"Charleston County, South Carolina",113839,75846,8134,13948,13517,10735,6688,4204,3493,4705,10101,321,0500000US45019
650,"Dorchester County, South Carolina",51259,35391,3487,5993,7326,5070,3885,2659,1134,1083,4672,82,0500000US45035
651,"Florence County, South Carolina",33218,17276,2195,4405,2559,2255,2218,1032,633,908,1071,0,0500000US45041
652,"Greenville County, South Carolina",155225,97867,13007,20569,20909,12712,9464,4605,3206,4889,7831,675,0500000US45045
653,"Greenwood County, South Carolina",18904,8166,1160,1250,609,1909,982,296,406,798,738,18,0500000US45047
654,"Horry County, South Carolina",122944,69448,7905,13648,10883,8163,8205,4022,3720,4136,8310,456,0500000US45051
655,"Kershaw County, South Carolina",21105,11534,1201,3720,2100,1097,1024,468,480,111,1094,239,0500000US45055
656,"Lancaster County, South Carolina",35406,21751,2727,4430,3811,3320,1621,1108,908,1212,2542,72,0500000US45057
657,"Laurens County, South Carolina",19545,9704,1210,2095,2061,1141,751,636,402,332,846,230,0500000US45059
658,"Lexington County, South Carolina",95006,60471,7485,14037,13566,8203,5745,2242,1768,3456,3479,490,0500000US45063
659,"Oconee County, South Carolina",27926,12594,1218,3377,2421,1487,754,719,320,726,1572,0,0500000US45073
660,"Orangeburg County, South Carolina",22267,8177,1120,1552,1396,793,731,318,652,478,1068,69,0500000US45075
661,"Pickens County, South Carolina",36374,19320,1761,3642,4559,3148,1516,722,793,701,2391,87,0500000US45077
662,"Richland County, South Carolina",105541,71273,6671,16022,14793,10137,5479,4608,3672,3342,6504,45,0500000US45079
663,"Spartanburg County, South Carolina",95417,55374,7297,10952,11644,5924,5828,4159,2065,2683,4677,145,0500000US45083
664,"Sumter County, South Carolina",27609,15039,1242,3857,2423,1773,1173,1318,411,1024,1547,271,0500000US45085
665,"York County, South Carolina",84255,58090,7988,13023,11510,8525,5594,2895,1334,2889,4332,0,0500000US45091
666,"Lincoln County, South Dakota",20228,13499,842,2709,2322,2754,1734,1197,462,639,840,0,0500000US46083
667,"Minnehaha County, South Dakota",55620,36530,3296,6071,7835,8335,2950,2150,1406,1513,2628,346,0500000US46099
668,"Pennington County, South Dakota",32155,19863,1166,2906,3264,3758,2689,1160,1528,1207,2185,0,0500000US46103
669,"Anderson County, Tennessee",23369,11955,1137,2293,2801,1537,684,1057,610,1030,806,0,0500000US47001
670,"Blount County, Tennessee",42951,24360,2756,4543,5467,3307,2963,1080,917,602,2472,253,0500000US47009
671,"Bradley County, Tennessee",29523,16063,1416,3110,3697,3092,995,1082,298,837,1536,0,0500000US47011
672,"Davidson County, Tennessee",172239,115931,10655,19702,22402,17768,13194,8040,5811,5305,12953,101,0500000US47037
673,"Greene County, Tennessee",21955,9994,909,1689,2638,958,1302,489,287,542,1062,118,0500000US47059
674,"Hamblen County, Tennessee",20038,10435,1386,2944,2551,576,855,924,196,769,234,0,0500000US47063
675,"Hamilton County, Tennessee",102229,58207,8667,13553,10709,8723,5182,2568,1690,2075,4909,131,0500000US47065
676,"Knox County, Tennessee",131603,78495,9822,19452,13383,13157,6553,4296,3462,3468,4707,195,0500000US47093
677,"Madison County, Tennessee",24894,13810,1392,2538,3517,1783,958,678,620,1090,1150,84,0500000US47113
678,"Maury County, Tennessee",30093,17907,1138,3294,3987,2300,1460,2007,719,1133,1393,476,0500000US47119
679,"Montgomery County, Tennessee",57417,40514,2660,8760,8296,4946,4285,2811,1930,3122,3704,0,0500000US47125
680,"Putnam County, Tennessee",20911,11573,760,1963,2307,2026,819,434,730,623,1858,53,0500000US47141
681,"Robertson County, Tennessee",22539,15192,953,2738,3025,2433,2407,325,1139,863,1309,0,0500000US47147
682,"Rutherford County, Tennessee",86187,59428,5475,10349,12335,11438,6624,2907,2138,2635,5527,0,0500000US47149
683,"Sevier County, Tennessee",29133,15947,1114,2636,3353,2453,1356,1178,371,1209,2211,66,0500000US47155
684,"Shelby County, Tennessee",197929,124244,12939,24743,28080,15204,10443,7012,5261,5776,13721,1065,0500000US47157
685,"Sullivan County, Tennessee",51062,24075,2871,6700,4180,3408,2134,1083,818,982,1836,63,0500000US47163
686,"Sumner County, Tennessee",58319,38227,2740,7150,8115,6154,3474,2555,2505,2328,2929,277,0500000US47165
687,"Washington County, Tennessee",36455,20078,3202,4065,4986,1892,1247,893,700,881,2212,0,0500000US47179
688,"Williamson County, Tennessee",75616,52393,5215,11719,10652,8879,5904,2802,1425,1149,4529,119,0500000US47187
689,"Wilson County, Tennessee",45272,32712,2637,6022,5916,5643,2924,2842,2365,1750,2613,0,0500000US47189
690,"Angelina County, Texas",21702,9686,371,1713,2105,2866,551,266,347,520,947,0,0500000US48005
691,"Bastrop County, Texas",29138,15208,386,1979,2387,4302,1761,827,697,472,2334,63,0500000US48021
692,"Bell County, Texas",79311,49555,4444,7548,10585,7533,5193,2693,1987,2134,6795,643,0500000US48027
693,"Bexar County, Texas",446172,265727,16790,37334,54116,41242,28353,22612,14684,19083,31020,493,0500000US48029
694,"Bowie County, Texas",22465,10633,912,1489,1573,1414,1102,611,465,1164,1734,169,0500000US48037
695,"Brazoria County, Texas",100491,58843,3485,11098,10563,10192,6468,4551,3953,3149,5340,44,0500000US48039
696,"Brazos County, Texas",42738,24055,1765,5335,5780,3461,2209,1382,1036,800,2011,276,0500000US48041
697,"Cameron County, Texas",91171,36654,2888,6278,6917,6206,4006,2443,949,2280,3795,892,0500000US48061
698,"Collin County, Texas",267220,186216,16026,32945,38590,31602,19345,13722,8847,8609,15755,775,0500000US48085
699,"Comal County, Texas",54885,34333,2091,5571,7899,4280,3825,2661,1545,1244,5152,65,0500000US48091
700,"Coryell County, Texas",14913,8152,953,1396,2109,1475,867,265,423,101,563,0,0500000US48099
701,"Dallas County, Texas",496727,284258,21503,43476,52529,46574,31821,20601,14057,16274,35392,2031,0500000US48113
702,"Denton County, Texas",234720,163847,11016,29100,34552,24262,17751,12182,8479,9637,16558,310,0500000US48121
703,"Ector County, Texas",40967,21663,1533,3879,3067,3281,1739,1836,1321,1914,3048,45,0500000US48135
704,"Ellis County, Texas",57103,36013,2059,6164,8916,5885,4404,2253,1031,2464,2692,145,0500000US48139
705,"El Paso County, Texas",188291,95070,6579,14076,14973,14122,10414,8950,3153,7285,14708,810,0500000US48141
706,"Fort Bend County, Texas",227295,146199,9892,24745,32274,22196,15369,8691,7412,7956,16722,942,0500000US48157
707,"Galveston County, Texas",97860,56914,3563,9294,8959,8688,5734,5398,3442,2368,9108,360,0500000US48167
708,"Grayson County, Texas",37404,20529,1298,3332,3997,3358,2454,1348,1313,1054,2293,82,0500000US48181
709,"Gregg County, Texas",27725,12604,1295,2777,2832,2387,1066,667,526,118,846,90,0500000US48183
710,"Guadalupe County, Texas",52317,34588,2357,6469,6409,6004,4516,2385,1249,1492,3299,408,0500000US48187
711,"Harris County, Texas",958193,542009,45440,84922,105496,78226,56182,39661,27915,33984,67077,3106,0500000US48201
712,"Harrison County, Texas",21886,9819,1119,1954,2021,1463,516,724,512,336,1174,0,0500000US48203
713,"Hays County, Texas",66896,45628,3343,6306,12048,8437,4182,3405,1278,3764,2758,107,0500000US48209
714,"Henderson County, Texas",25020,10571,854,2120,2141,2310,668,901,335,551,691,0,0500000US48213
715,"Hidalgo County, Texas",182238,72536,5954,12843,13559,10462,6510,5360,3866,3983,9577,422,0500000US48215
716,"Hood County, Texas",20758,11115,650,1835,1839,1427,1247,1125,746,394,1852,0,0500000US48221
717,"Hunt County, Texas",28043,14410,843,3499,1247,1649,1870,1524,1425,826,1527,0,0500000US48231
718,"Jefferson County, Texas",59006,25624,2159,4710,7034,3055,2319,901,786,1340,3243,77,0500000US48245
719,"Johnson County, Texas",50225,30188,1940,4004,5471,8109,2027,1425,2181,1284,3747,0,0500000US48251
720,"Kaufman County, Texas",39703,26221,2777,3248,3901,3754,2641,2765,2106,1555,3474,0,0500000US48257
721,"Liberty County, Texas",24972,11647,1788,1092,2292,1360,1085,539,469,930,2092,0,0500000US48291
722,"Lubbock County, Texas",69035,39986,3952,6098,7611,5880,4499,2994,2356,1426,4701,469,0500000US48303
723,"McLennan County, Texas",57447,31819,3277,5719,5387,5034,3274,1177,1153,2755,3920,123,0500000US48309
724,"Midland County, Texas",44239,25244,1917,4270,4689,2949,3547,2532,1290,1591,2391,68,0500000US48329
725,"Montgomery County, Texas",179109,110319,9363,19501,22819,18085,10955,8442,5166,4754,10633,601,0500000US48339
726,"Nueces County, Texas",79173,42095,3178,7638,7826,6300,4441,2457,3061,2689,4148,357,0500000US48355
727,"Orange County, Texas",24680,11632,1407,2692,2464,2266,535,183,444,314,1101,226,0500000US48361
728,"Parker County, Texas",45282,29428,2646,4316,6308,4745,3433,2127,1476,1826,2513,38,0500000US48367
729,"Potter County, Texas",25050,13207,1169,1405,3031,1491,1028,1296,517,1242,1971,57,0500000US48375
730,"Randall County, Texas",38262,22508,1291,4470,4657,3559,2306,2137,1048,912,2082,46,0500000US48381
731,"Rockwall County, Texas",34800,26061,1080,5165,4851,5912,2903,1835,1007,1254,1897,157,0500000US48397
732,"San Patricio County, Texas",17538,7681,248,1750,1083,1675,566,288,583,533,910,45,0500000US48409
733,"Smith County, Texas",57399,31086,2689,5550,7444,4551,2818,2216,828,1710,3220,60,0500000US48423
734,"Starr County, Texas",13247,2577,275,570,309,170,343,168,72,670,0,0,0500000US48427
735,"Tarrant County, Texas",476114,291139,17134,47995,60984,48335,32906,21408,15348,16131,28925,1973,0500000US48439
