,County,Total Population,Est. Pop Below Poverty Level,2022 Poverty Rate,GEO_ID
138,"Osceola County, Florida",419388,56827,13.549982355241447,0500000US12097
139,"Palm Beach County, Florida",1489735,164260,11.026122095540481,0500000US12099
140,"Pasco County, Florida",601089,64538,10.736845957919709,0500000US12101
141,"Pinellas County, Florida",943121,117045,12.41039060735579,0500000US12103
142,"Polk County, Florida",769699,122208,15.877375441568716,0500000US12105
143,"Putnam County, Florida",73266,17022,23.233150438129556,0500000US12107
144,"St. Johns County, Florida",304155,17121,5.629037826108399,0500000US12109
145,"St. Lucie County, Florida",355968,48600,13.652912621359222,0500000US12111
146,"Santa Rosa County, Florida",193939,17840,9.19876868499889,0500000US12113
147,"Sarasota County, Florida",452480,37701,8.332080975954739,0500000US12115
148,"Seminole County, Florida",472643,54397,11.509109412389478,0500000US12117
149,"Sumter County, Florida",137214,13661,9.955981168102381,0500000US12119
150,"Volusia County, Florida",562283,63902,11.364739819628195,0500000US12127
151,"Walton County, Florida",81535,9722,11.923713742564543,0500000US12131
152,"Barrow County, Georgia",88486,8445,9.543882648102525,0500000US13013
153,"Bartow County, Georgia",111857,10777,9.634622777296013,0500000US13015
154,"Bibb County, Georgia",149835,35258,23.531217672773383,0500000US13021
155,"Bulloch County, Georgia",76975,20859,27.098408574212407,0500000US13031
156,"Carroll County, Georgia",121128,15216,12.561917971071923,0500000US13045
157,"Catoosa County, Georgia",68278,7447,10.906880693634847,0500000US13047
158,"Chatham County, Georgia",286700,47169,16.452389257063132,0500000US13051
159,"Cherokee County, Georgia",279449,13940,4.988387863259486,0500000US13057
160,"Clarke County, Georgia",120046,35526,29.593655765289974,0500000US13059
161,"Clayton County, Georgia",293667,40253,13.707021898953577,0500000US13063
162,"Cobb County, Georgia",762637,59396,7.788240014580987,0500000US13067
163,"Columbia County, Georgia",161237,12473,7.73581746125269,0500000US13073
164,"Coweta County, Georgia",151435,9866,6.5150064384059165,0500000US13077
165,"DeKalb County, Georgia",751794,100579,13.378531885064259,0500000US13089
166,"Dougherty County, Georgia",79563,23582,29.6394052511846,0500000US13095
167,"Douglas County, Georgia",146034,12725,8.713724201213417,0500000US13097
168,"Effingham County, Georgia",68653,5602,8.159876480270345,0500000US13103
169,"Fayette County, Georgia",121303,7614,6.27684393625879,0500000US13113
170,"Floyd County, Georgia",95627,13871,14.505317535842387,0500000US13115
171,"Forsyth County, Georgia",265881,8248,3.1021396790293405,0500000US13117
172,"Fulton County, Georgia",1046996,133247,12.726600674692168,0500000US13121
173,"Glynn County, Georgia",84028,10360,12.329223592135955,0500000US13127
174,"Gwinnett County, Georgia",967772,87407,9.031776079489799,0500000US13135
175,"Hall County, Georgia",209776,25813,12.30503012737396,0500000US13139
176,"Henry County, Georgia",247118,19043,7.706035173479877,0500000US13151
177,"Houston County, Georgia",167841,16326,9.727063113303663,0500000US13153
178,"Jackson County, Georgia",83376,3584,4.2985991172519675,0500000US13157
179,"Liberty County, Georgia",64812,8110,12.513114855273717,0500000US13179
180,"Lowndes County, Georgia",115100,16093,13.981754995655951,0500000US13185
181,"Muscogee County, Georgia",196703,35003,17.794848070441223,0500000US13215
182,"Newton County, Georgia",116111,14307,12.321829973043036,0500000US13217
183,"Paulding County, Georgia",177659,15100,8.49942868078735,0500000US13223
184,"Richmond County, Georgia",196450,33448,17.026215321964877,0500000US13245
185,"Rockdale County, Georgia",94281,6519,6.914436630922455,0500000US13247
186,"Spalding County, Georgia",67916,14584,21.47358501678544,0500000US13255
187,"Troup County, Georgia",68383,13844,20.244797683634822,0500000US13285
188,"Walker County, Georgia",67121,10244,15.261989541276202,0500000US13295
189,"Walton County, Georgia",100959,12944,12.821046167256014,0500000US13297
190,"Whitfield County, Georgia",101965,13195,12.940714951208749,0500000US13313
191,"Hawaii County, Hawaii",203876,30833,15.123408346249681,0500000US15001
192,"Honolulu County, Hawaii",963464,93402,9.694394393563226,0500000US15003
193,"Kauai County, Hawaii",73169,4817,6.583389140209651,0500000US15007
194,"Maui County, Hawaii",162152,13326,8.21821500814051,0500000US15009
195,"Ada County, Idaho",506264,41225,8.142984687830856,0500000US16001
196,"Bannock County, Idaho",86898,11035,12.698796289903106,0500000US16005
197,"Bonneville County, Idaho",128047,15976,12.476668723203199,0500000US16019
198,"Canyon County, Idaho",247589,26451,10.683431008647396,0500000US16027
199,"Kootenai County, Idaho",181809,19696,10.833347084027743,0500000US16055
200,"Twin Falls County, Idaho",92291,9332,10.111495162041804,0500000US16083
201,"Champaign County, Illinois",191988,38557,20.083026022459737,0500000US17019
202,"Cook County, Illinois",5031145,682858,13.572616173853069,0500000US17031
203,"DeKalb County, Illinois",95383,13499,14.152417097386326,0500000US17037
204,"DuPage County, Illinois",907880,61047,6.72412653654668,0500000US17043
205,"Kane County, Illinois",508335,39462,7.7629909410133076,0500000US17089
206,"Kankakee County, Illinois",102070,14102,13.816008621534243,0500000US17091
207,"Kendall County, Illinois",136804,12572,9.189789772228881,0500000US17093
208,"Lake County, Illinois",690669,55201,7.992395778585689,0500000US17097
209,"LaSalle County, Illinois",105229,16146,15.343679023843237,0500000US17099
210,"McHenry County, Illinois",309848,17153,5.535940202938215,0500000US17111
211,"McLean County, Illinois",162280,18402,11.339659847177717,0500000US17113
212,"Macon County, Illinois",98480,13800,14.012997562956944,0500000US17115
