,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Total % Change,CAGR
58,"Merced County, California",256778,259898,262305,263228,266353,268455,268672,272673,274765,277680,281202,286461,290014,0.12943476466052384,0.01019472396576182
59,"Monterey County, California",416682,421898,426762,428826,431344,433898,435232,437907,435594,434061,439035,437325,432858,0.03882097138825302,0.003178907769083583
60,"Napa County, California",136858,138088,139045,140326,141667,142456,142166,140973,139417,137744,138019,136207,134300,-0.018690905902468247,-0.0015710802604835816
61,"Nevada County, California",98794,98612,98292,98200,98893,98877,99107,99814,99696,99755,102241,103487,102293,0.03541713059497531,0.0029045743133699897
62,"Orange County, California",3018963,3055745,3090132,3114363,3145515,3169776,3172532,3190400,3185968,3175692,3186989,3167809,3151184,0.04379682692368214,0.0035784591425522816
63,"Placer County, California",350048,357138,361682,367309,371694,375391,380531,386166,393149,398329,404739,412300,417772,0.19347060974494923,0.01484794673806289
64,"Riverside County, California",2203332,2239620,2268783,2292507,2329271,2361026,2387741,2423266,2450758,2470546,2418185,2458395,2473902,0.1228003768837378,0.009698890746886235
65,"Sacramento County, California",1421959,1436105,1450121,1462131,1482026,1501335,1514460,1530615,1540975,1552058,1585055,1588921,1584169,0.11407501904063344,0.0090426803268846
66,"San Bernardino County, California",2042441,2065377,2081313,2088371,2112619,2128133,2140096,2157404,2171603,2180085,2181654,2194710,2193656,0.07403641035408115,0.005969739724851042
67,"San Diego County, California",3105989,3140069,3177063,3211252,3263431,3299521,3317749,3337685,3343364,3338330,3298634,3286069,3276208,0.05480347805481611,0.004456105110754782
68,"San Francisco County, California",805463,812826,825863,837442,852469,864816,870887,884363,883305,881549,873965,815201,808437,0.003692286299929348,0.00030717104599142786
69,"San Joaquin County, California",687744,696214,702612,704379,715597,726106,733709,745424,752660,762148,779233,789410,793229,0.1533782919225759,0.011962255692435031
70,"San Luis Obispo County, California",270113,271969,274804,276443,279083,281401,282887,283405,284010,283111,282424,283159,282013,0.044055635974573626,0.003599193196444528
71,"San Mateo County, California",720162,727209,739311,747373,758581,765135,764797,771410,769545,766573,764442,737888,729181,0.012523571085394591,0.0010376880103601938
72,"Santa Barbara County, California",424712,426878,431249,435697,440668,444769,446170,448150,446527,446499,448229,446475,443837,0.045030514795908694,0.0036772517068222044
73,"Santa Clara County, California",1787694,1809378,1837504,1862041,1894605,1918044,1919402,1938153,1937570,1927852,1936259,1885508,1870945,0.046568931819427783,0.003800297023224708
74,"Santa Cruz County, California",263054,264298,266776,269419,271804,274146,274673,275897,274255,273213,270861,267792,264370,0.005002775095607648,0.0004159450475269555
75,"Shasta County, California",177291,177774,178586,178980,179804,179533,179631,179921,180040,180080,182155,182139,180930,0.020525576594412565,0.0016945813296576073
76,"Solano County, California",414305,416471,420757,424788,431131,436092,440207,445458,446610,447643,453491,451716,448747,0.08313199213140088,0.006676928373567925
77,"Sonoma County, California",485120,488116,491829,495025,500292,502146,503070,504217,499942,494336,488863,485887,482650,-0.005091523746701854,-0.0004252870164388467
78,"Stanislaus County, California",515358,518522,521726,525491,531997,538388,541560,547899,549815,550660,552878,552999,551275,0.06969330057940315,0.005630120927016424
79,"Sutter County, California",94806,94919,95022,95350,95847,96463,96651,96648,96807,96971,99633,99063,98503,0.03899542223066055,0.0031929454731958185
80,"Tulare County, California",443688,449253,451977,454143,458198,459863,460437,464493,465861,466195,473117,477054,477544,0.07630587259515687,0.006146704729260932
81,"Ventura County, California",825706,831771,835981,839620,846178,850536,849738,854223,850967,846006,843843,839784,832605,0.008355274153269976,0.0006936206160019776
82,"Yolo County, California",201190,202054,204118,204593,207590,213016,215802,219116,220408,220500,216403,216986,222115,0.10400616332819723,0.008279548317374541
83,"Yuba County, California",72388,72578,72926,73340,73966,74492,75275,77031,78041,78668,81575,83421,84310,0.16469580593468525,0.012786046517857752
84,"Adams County, Colorado",443715,451443,459598,469193,480718,491337,498187,503167,511868,517421,519572,522140,527575,0.1889951883528842,0.014530267001716668
85,"Arapahoe County, Colorado",575022,584948,595546,607070,618821,631096,637068,643052,651215,656590,655070,654900,655808,0.14049201595765037,0.01101520570450254
86,"Boulder County, Colorado",295166,299378,305318,310048,313333,319372,322226,322514,326078,326196,330758,329543,327468,0.10943672374189428,0.008691926522976123
87,"Denver County, Colorado",604414,619968,634265,649495,663862,682545,693060,704621,716492,727211,715522,711463,713252,0.18007193744684935,0.01389358109044192
88,"Douglas County, Colorado",287003,292167,298215,305963,314638,322387,328632,335299,342776,351154,357978,368990,375988,0.3100490238777991,0.022760536543402488
89,"El Paso County, Colorado",626928,636963,644964,655044,663519,674471,688284,699232,713856,720403,730395,737867,740567,0.18126323915983966,0.013978836814712015
90,"Jefferson County, Colorado",535533,539884,545358,551798,558503,565524,571837,574613,580233,582881,582910,579581,576143,0.07583099454188624,0.006109703658530918
91,"Larimer County, Colorado",300637,305525,310487,315988,324122,333577,339993,343976,350518,356899,359066,362533,366778,0.22000286059267493,0.016709162533448563
92,"Mesa County, Colorado",146313,147083,147848,147554,148255,148513,150083,151616,153207,154210,155703,157335,158636,0.08422354814678124,0.006761431542562368
93,"Pueblo County, Colorado",159477,160545,160852,161451,161875,163591,165123,166475,167529,168424,168162,169622,169544,0.06312509013838996,0.0051140966574738655
94,"Weld County, Colorado",254270,258638,263691,269785,277670,285174,294932,304633,314305,324492,328981,340036,350176,0.3771817359499745,0.027028758055293478
95,"Kent County, Delaware",162912,164834,167626,169416,171987,173533,174827,176824,178550,180786,181851,184149,186946,0.1475274995089373,0.01153347242662428
96,"New Castle County, Delaware",538986,541971,546076,549684,552778,556779,556987,559793,559335,558753,570719,571708,575494,0.06773459793018732,0.0054765422165683475
97,"Sussex County, Delaware",197871,200330,203390,206649,210849,215622,220251,225322,229286,234225,237378,247527,255956,0.2935498380257844,0.02168087498603888
98,"District of Columbia, District of Columbia",604453,617996,632323,646449,658893,672228,681170,693972,702455,705749,689545,670050,671803,0.1114230552251374,0.008842299697184863
99,"Alachua County, Florida",247497,249365,251417,253451,256380,259964,263496,266944,269956,269043,278468,279238,284030,0.14760987001862658,0.011539522956033776
100,"Bay County, Florida",169272,169856,171903,174987,178985,181635,183974,183563,185287,174705,175216,179168,185134,0.09370716952597014,0.007492344755937408
101,"Brevard County, Florida",543573,543566,547307,550823,556885,568088,579130,589162,596849,601942,606612,616628,630693,0.16027286123482964,0.012464981831445288
102,"Broward County, Florida",1753578,1780172,1815137,1838844,1869235,1896425,1909632,1935878,1951260,1952778,1944375,1930983,1947026,0.11031616500663222,0.00875853413524097
103,"Charlotte County, Florida",159990,160511,162449,164736,168474,173115,178465,182033,184998,188910,186847,194843,202661,0.26671041940121265,0.01989730745125229
104,"Citrus County, Florida",141129,140031,139360,139271,139377,141058,143621,145647,147929,149657,153843,158083,162529,0.15163432037355884,0.011834655345702272
105,"Clay County, Florida",191395,192370,194345,196399,199798,203967,208311,212230,216072,219252,218245,222361,226589,0.1838815016066251,0.014165936620189168
106,"Collier County, Florida",322472,328134,332427,339642,348777,357305,365136,372880,378488,384902,375752,385980,397994,0.2341970775757276,0.017689693163459363
107,"Columbia County, Florida",67597,67485,67966,67543,67857,68348,69299,69612,70503,71686,69698,70385,71908,0.0637750196014617,0.005165287740501512
108,"Duval County, Florida",865876,870709,879602,885855,897698,913010,926255,937934,950181,957755,995567,999935,1016536,0.17399720052293866,0.01345761073555729
