,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Total % Change,CAGR
380,"Gallatin County, Montana",89658,91377,92614,94720,97308,100739,104502,107810,111876,114434,118960,122713,124857,0.39259184902629984,0.027981551510645852
381,"Missoula County, Montana",109494,110138,110977,111807,112684,114181,116130,117441,118791,119600,117922,119533,121041,0.10545783330593461,0.008389964954253593
382,"Yellowstone County, Montana",148432,150069,151882,154162,155634,157048,158437,158980,160137,161300,164731,167146,169852,0.14430850490460267,0.011296708696653113
383,"Douglas County, Nebraska",518777,524861,531265,537256,543244,550064,554995,561620,566880,571327,584526,585008,586327,0.1302100902700003,0.01025249501066372
384,"Lancaster County, Nebraska",286141,289800,293407,297036,301795,306468,309637,314358,317272,319090,322608,324514,324756,0.13495095075504726,0.010604957703966633
385,"Sarpy County, Nebraska",159709,162561,165853,169331,172193,175692,179023,181439,184459,187196,190604,193418,196553,0.2306945757596628,0.017448706211954823
386,"Clark County, Nevada",1954260,1969975,2000759,2027868,2069681,2114801,2155664,2204079,2231647,2266715,2265461,2292476,2322985,0.18867755569883227,0.014507678782721412
387,"Washoe County, Nevada",422528,425710,429908,433731,440078,446903,453616,460587,465735,471519,486492,493392,496745,0.175649897758255,0.013576425531855785
388,"Cheshire County, New Hampshire",77049,76918,76851,76610,76115,75909,75774,75960,76493,76085,76458,77329,77350,0.003906604887798704,0.0003249689511819476
389,"Grafton County, New Hampshire",89108,88923,89181,89629,89658,89320,88888,89386,89786,89886,91118,92201,91126,0.022646675943798433,0.0018679129635879033
390,"Hillsborough County, New Hampshire",401057,401696,402922,403985,405184,406678,407761,409697,415247,417025,422937,424079,426594,0.06367424081863682,0.005157351872863147
391,"Merrimack County, New Hampshire",146400,146579,146761,146849,147171,147994,148582,149216,151132,151391,153808,155238,156020,0.06571038251366113,0.005317555161141296
392,"Rockingham County, New Hampshire",295360,296207,297820,299134,300621,301777,303251,306363,309176,309769,314176,316947,319424,0.08147345612134349,0.006548382725430457
393,"Strafford County, New Hampshire",123198,123857,124119,124593,125604,126825,127428,128613,130090,130633,130889,132416,132275,0.07367814412571638,0.005941772012449942
394,"Atlantic County, New Jersey",274685,274338,275422,275862,275209,274219,270991,269918,265429,263670,274534,274966,275638,0.003469428618235515,0.00028866032396512864
395,"Bergen County, New Jersey",906541,911004,918888,925328,933572,938506,939151,948406,936692,932202,955732,953819,952997,0.0512453380486928,0.004173308902770234
396,"Burlington County, New Jersey",449149,449576,451336,450838,449722,450226,449284,448596,445384,445349,461860,464269,466103,0.03774693921170935,0.0030924349502894355
397,"Camden County, New Jersey",513607,513241,513539,512854,511038,510923,510150,510719,507078,506471,523485,523771,524907,0.022001257771019578,0.001815205701267919
398,"Cape May County, New Jersey",97253,96601,96304,95897,95344,94727,94430,93553,92560,92039,95263,95661,95634,-0.01664730136859527,-0.0013979740049195888
399,"Cumberland County, New Jersey",157149,157095,157785,157332,157389,155854,153797,152538,150972,149527,154152,153627,151356,-0.036863104442280914,-0.003125083561051456
400,"Essex County, New Jersey",784228,785137,787744,789565,795723,797434,796914,808285,799767,798975,863728,854917,849477,0.08320156893148423,0.006682317013321448
401,"Gloucester County, New Jersey",288581,289104,289586,290265,290951,291479,292330,292206,291408,291636,302294,304477,306601,0.06244347340954537,0.005060378928305909
402,"Hudson County, New Jersey",635294,641224,652302,660282,669115,674836,677983,691643,676061,672391,724854,702463,703366,0.1071503902130353,0.008518536182225755
403,"Hunterdon County, New Jersey",128373,128038,127050,126250,126067,125488,124676,125059,124714,124371,128947,129924,129777,0.010936879250309728,0.0009068696339367133
404,"Mercer County, New Jersey",366789,367063,368303,370414,371537,371398,371023,374733,369811,367430,387340,385898,380688,0.037893720913113604,0.003104257523516063
405,"Middlesex County, New Jersey",810986,814217,823041,828919,836297,840900,837073,842798,829685,825062,863162,860807,861418,0.06218603033837833,0.005040081803655561
406,"Monmouth County, New Jersey",630966,631020,629384,629672,629279,628715,625846,626351,621354,618795,643615,645354,644098,0.02081253189553789,0.0017180499993938447
407,"Morris County, New Jersey",492694,494976,497999,499397,499727,499509,498423,499693,494228,491845,509285,510981,511151,0.037461385768854605,0.0030694305758882656
408,"Ocean County, New Jersey",577603,579369,580470,583414,586301,588721,592497,597943,601651,607186,637229,648998,655735,0.13526938052607074,0.010628583198554642
409,"Passaic County, New Jersey",501860,502007,502885,505672,508856,510916,507945,512607,503310,501826,524118,518117,513936,0.02406248754632756,0.001983426706186897
410,"Salem County, New Jersey",66058,65902,65774,65166,64715,64180,63436,62792,62607,62385,64837,65046,65117,-0.014245057373822978,-0.0011949098726700136
411,"Somerset County, New Jersey",324194,324893,327707,330585,332568,333654,333751,335432,331164,328934,345361,345647,346875,0.06996119607395568,0.005651106136803197
412,"Sussex County, New Jersey",149239,148517,147442,145992,144909,143673,142522,141682,140799,140488,144221,145543,146084,-0.021140586575895015,-0.0017790197472137281
413,"Union County, New Jersey",537661,539494,543976,548256,552939,555786,555630,563892,558067,556341,575345,572114,569815,0.059803482119774376,0.004852024525814791
414,"Warren County, New Jersey",108714,108339,107653,107379,106917,106869,106617,106798,105779,105267,109632,110731,110926,0.02034696543223502,0.001679970542256326
415,"Bernalillo County, New Mexico",664639,670968,673460,674221,675551,676685,676953,676773,678701,679121,676444,674393,672508,0.011839509869267406,0.0009813121055723961
416,"McKinley County, New Mexico",71797,73664,73016,73308,74098,76708,74923,72564,72290,71367,72902,71780,69830,-0.02739668788389482,-0.0023122372842565575
417,"Sandoval County, New Mexico",132330,134259,135588,136575,137608,139394,142025,142507,145179,146748,148834,151369,153501,0.15998639764225797,0.012444148572373193
418,"San Juan County, New Mexico",130145,128200,128529,126503,123785,118737,115079,126926,125043,123958,121661,120993,120418,-0.07473971339659613,-0.006452442189791796
419,"Santa Fe County, New Mexico",144606,145648,146375,147423,148164,148686,148651,148750,150056,150358,154823,155201,155664,0.07646985602257161,0.006159478349118119
420,"Valencia County, New Mexico",76759,77070,76631,76284,75817,75737,75626,75940,76456,76688,76205,77190,78080,0.017209708307820648,0.0014229529939682184
421,"Albany County, New York",303833,303565,305455,306945,308171,309381,308846,309612,307117,305506,314848,313743,315811,0.039422972488176056,0.0032273404376603754
422,"Bronx County, New York",1386657,1392002,1408473,1418733,1438159,1455444,1455720,1471160,1432132,1418207,1472654,1424948,1379946,-0.004839697199812254,-0.0004042054917904325
423,"Broome County, New York",200272,199031,198060,197534,197349,196567,195334,193639,191659,190488,198683,197240,197117,-0.015753575137812614,-0.0013223733521421366
424,"Cattaraugus County, New York",80229,79832,79458,78892,78600,77922,77677,77348,76840,76117,77042,76426,76439,-0.047239776140796996,-0.004024547082076335
425,"Cayuga County, New York",79978,79738,79552,79477,78823,78288,77861,77603,77145,76576,76248,75880,74998,-0.062267123458951246,-0.005343186653221199
426,"Chautauqua County, New York",134768,134368,133539,133080,132053,130779,129504,129046,127939,126903,127657,126807,126027,-0.06485961059005108,-0.005572632611367756
427,"Chemung County, New York",88824,88840,88911,88506,87770,87071,86322,85557,84254,83456,84148,83045,81426,-0.08328830045933533,-0.007220659152504916
428,"Clinton County, New York",82115,81945,81654,81591,81632,81251,81073,80980,80695,80485,79843,79596,78753,-0.04094258052730926,-0.0034776332749208994
429,"Dutchess County, New York",297577,297999,297322,296916,296579,295754,294473,295568,293718,294218,295911,297112,297545,-0.00010753519257200583,-8.961707751553583e-06
430,"Erie County, New York",918652,918028,919086,919866,922835,922578,921046,925528,919719,918702,954236,950683,950312,0.03446354005651764,0.0028275711895455746
431,"Jefferson County, New York",116582,117910,120262,119504,119103,117635,114006,114187,111755,109834,116721,116295,116637,0.0004717709423409655,3.9305746902140726e-05
432,"Kings County, New York",2508340,2532645,2565635,2592149,2621793,2636735,2629150,2648771,2582830,2559903,2736074,2641052,2590516,0.03276110894057416,0.002689936729691089
433,"Madison County, New York",73439,73365,72382,72382,72369,71849,71329,70965,70795,70941,68016,67658,67097,-0.08635738504064594,-0.007498064542317162
434,"Monroe County, New York",744389,745625,747813,749606,749857,749600,747727,747642,742474,741770,759443,755160,752035,0.010271511266286781,0.0008519558552846362
435,"Nassau County, New York",1341245,1344436,1349233,1352146,1358627,1361350,1361500,1369514,1358343,1356924,1395774,1390907,1383726,0.03167281145502865,0.0026018434037473614
436,"New York County, New York",1586698,1601948,1619090,1626159,1636268,1644518,1643734,1664727,1628701,1628706,1694251,1576876,1596273,0.006034544695965982,0.0005014931850129134
437,"Niagara County, New York",216546,216011,215124,214249,213525,212652,211758,211328,210433,209281,212666,211653,210880,-0.02616534131316206,-0.002207039622865725
438,"Oneida County, New York",234845,234287,233556,233585,232871,232500,231190,231332,229577,228671,232125,230274,228846,-0.025544508079797357,-0.002154046189923986
439,"Onondaga County, New York",467204,466960,466852,468387,468196,468463,466194,465398,461809,460528,476516,473236,468249,0.002236710302137901,0.00018620171583760836
440,"Ontario County, New York",108116,108525,108519,109103,109707,109561,109828,109899,109864,109777,112458,112508,112707,0.0424636501535387,0.003471579198000896
441,"Orange County, New York",373355,374872,374512,375592,376099,377647,379210,382226,381951,384940,401310,404525,405941,0.08727886328025614,0.006997545806054495
442,"Oswego County, New York",122114,122228,121700,121165,120913,120146,118987,118478,117898,117124,117525,117387,118287,-0.03133956794470738,-0.0026499127514441057
443,"Putnam County, New York",99713,99933,99607,99645,99487,99042,98900,99323,98892,98320,97668,97936,98045,-0.016728009386940523,-0.00140480422825362
444,"Queens County, New York",2233841,2247848,2272771,2296175,2321580,2339150,2333054,2358582,2278906,2253858,2405464,2331143,2278029,0.01978117511497013,0.0016336721640719531
445,"Rensselaer County, New York",159428,159395,159835,159918,159774,160266,160070,159722,159442,158714,161130,160232,159853,0.002665780164086584,0.00022187738399903623
446,"Richmond County, New York",469363,470467,470728,472621,473279,474558,476015,479458,476179,476143,495747,493494,491133,0.046382011364338505,0.003785355646391819
447,"Rockland County, New York",312183,315158,317757,320903,323866,326037,326780,328868,325695,325789,338329,339227,339022,0.08597201000695098,0.006896626926911065
448,"St. Lawrence County, New York",111894,111690,112232,111963,111400,111007,110038,109623,108047,107740,108505,108051,107733,-0.03718698053514935,-0.0031530229715439617
449,"Saratoga County, New York",219960,220882,222133,223865,224921,226249,227053,229869,230163,229863,235509,237359,238797,0.08563829787234045,0.006870838896002818
450,"Schenectady County, New York",154889,155058,155124,155333,155735,154604,154553,155565,155350,155299,158061,158089,160093,0.033598254233677016,0.0027576424057773608
451,"Steuben County, New York",98930,99033,99063,98650,98394,97631,96940,96281,95796,95379,93584,92948,92599,-0.0639947437582129,-0.0054960235351873
452,"Suffolk County, New York",1494434,1498816,1499273,1499738,1502968,1501587,1492583,1492953,1481093,1476601,1525920,1526344,1525465,0.020764383037323864,0.0017141125621753517
453,"Sullivan County, New York",77500,76900,76793,76665,75943,74877,74801,75485,75498,75432,78624,79806,79658,0.02784516129032255,0.002291332296699089
454,"Tompkins County, New York",101620,101723,102554,103617,104691,104926,104871,104802,102793,102180,105740,105162,104777,0.03106671914977377,0.0025527457198173398
455,"Ulster County, New York",182435,182448,181791,180998,180445,180143,179225,179417,178599,177573,181851,182951,182319,-0.000635842902951711,-5.300235672389686e-05
456,"Warren County, New York",65697,65831,65538,65337,64973,64688,64567,64532,64265,63944,65737,65618,65599,-0.0014916967289221317,-0.0001243931305452417
457,"Wayne County, New York",93753,93436,92962,92473,92051,91446,90798,90670,90064,89918,91283,90923,91125,-0.028031103004703795,-0.0023664849498080676
458,"Westchester County, New York",950541,955899,961670,968802,972634,976396,974542,980244,967612,967506,1004457,997895,990427,0.04196136726348465,0.0034312789961616907
459,"Alamance County, North Carolina",151528,153291,153920,154378,155792,158276,159688,162391,166436,169509,171415,173877,176353,0.16383110712211613,0.012723365413426668
460,"Brunswick County, North Carolina",107992,110097,112257,115301,118836,122765,126953,130897,136744,142820,136693,144215,153064,0.4173642492036447,0.029493137929027524
461,"Buncombe County, North Carolina",238832,241419,244490,247912,250539,253178,256088,257607,259103,261191,269452,271534,273589,0.14552907483084354,0.01138655592050375
462,"Burke County, North Carolina",90771,90904,90505,89842,89486,88842,88851,89293,90382,90485,87570,87611,87881,-0.03183836247259586,-0.002692720168517515
463,"Cabarrus County, North Carolina",178588,181468,184498,187226,192103,196762,201590,206872,211342,216453,225804,231278,235797,0.3203406723856026,0.023427698676590003
464,"Caldwell County, North Carolina",82998,82395,81930,81990,81484,81287,81449,81981,82029,82178,80652,80463,80492,-0.030193498638521388,-0.0025516315828231217
465,"Carteret County, North Carolina",66685,67373,67632,68434,68811,68879,68890,68881,69524,69473,67686,68541,69380,0.04041388618130015,0.0033070062417737134
466,"Catawba County, North Carolina",154389,154181,154339,154810,154534,155056,156459,157974,158652,159551,160610,161723,163462,0.05876714014599482,0.004770103886092336
467,"Cleveland County, North Carolina",98050,97489,97474,97047,97076,96879,97144,97334,97645,97947,99519,100359,100670,0.026721060683324804,0.002199940333785122
468,"Craven County, North Carolina",103908,104786,104770,104489,104510,103451,103445,102578,102912,102139,100720,100674,100874,-0.029198906725179996,-0.0024664266069608365
469,"Cumberland County, North Carolina",320267,324885,324049,325871,326328,323838,327127,332546,332330,335509,334728,335508,336699,0.05130719056287414,0.004178232346637056
470,"Davidson County, North Carolina",162930,162697,163260,163420,164072,164622,164926,165466,166614,167609,168930,170637,172586,0.05926471490824281,0.004809445287020875
471,"Durham County, North Carolina",268454,273392,279641,288133,294460,300952,306212,311640,316739,321488,324833,326126,332680,0.23924396730911068,0.018035840368507028
472,"Forsyth County, North Carolina",351335,354952,358137,361220,365298,369019,371511,376320,379099,382295,382590,385523,389157,0.10765224073889601,0.008556623482971926
473,"Gaston County, North Carolina",206213,207031,208049,209420,211127,213442,216965,220182,222846,224529,227943,230856,234215,0.1357916329232396,0.010667317907499418
474,"Guilford County, North Carolina",489681,495279,500879,506610,512119,517600,521330,526953,533670,537174,541299,542410,546101,0.11521786632521991,0.00912889832767938
475,"Harnett County, North Carolina",115733,119256,122135,124987,126666,128140,130881,132754,134214,135976,133568,135966,138832,0.19958870849282406,0.015280466765295486
476,"Henderson County, North Carolina",106978,107927,108266,109540,111149,112655,114209,115708,116748,117417,116281,116829,118106,0.10402138757501533,0.008280706991437903
477,"Iredell County, North Carolina",159771,161202,162708,164517,166675,169866,172916,175711,178435,181806,186693,191968,195897,0.22611112154270807,0.01713239371735975
478,"Johnston County, North Carolina",169735,172595,174938,177967,181423,185660,191450,196708,202675,209339,215999,226504,234778,0.3832032285621705,0.027402219263211736
479,"Lincoln County, North Carolina",78450,78932,79313,79740,79829,81035,81168,82403,83770,86111,86810,89670,93095,0.18667941363926066,0.014365455328004817
480,"Mecklenburg County, North Carolina",923427,944373,969031,990977,1012539,1034070,1054835,1076837,1093901,1110356,1115482,1122276,1145392,0.2403709226609141,0.018112957482908643
481,"Moore County, North Carolina",88569,89352,90302,91587,93077,94352,95776,97264,98682,100880,99727,102763,105531,0.19151170274023643,0.014709031861949384
482,"Nash County, North Carolina",95938,96116,95708,95093,94357,93919,94005,93991,94016,94298,94970,95176,95789,-0.0015530863682795548,-0.0001295160834920983
483,"New Hanover County, North Carolina",203341,206189,209234,213267,216298,220358,223483,227198,232274,234473,225702,229018,234921,0.15530561962417821,0.012103066005935581
484,"Onslow County, North Carolina",179471,179719,183263,185220,187589,186311,187136,193893,197683,197938,204576,206160,207298,0.15505011951791658,0.012084411587305555
485,"Orange County, North Carolina",134197,135755,137941,140352,140420,141354,141796,144946,146027,148476,148696,148884,150477,0.12131418735143118,0.009587449516524682
486,"Pitt County, North Carolina",168817,171134,172554,174263,175354,175842,177220,179042,179914,180742,170243,172169,173542,0.027988887375086646,0.002303010950801765
487,"Randolph County, North Carolina",141960,142358,142466,142577,142778,142799,143416,143282,143351,143667,144171,145172,146043,0.028761622992392155,0.0023657749660266347
488,"Robeson County, North Carolina",134473,135517,135496,134841,134760,134197,133235,132606,131831,130625,116530,116328,116663,-0.13244294393670109,-0.011769688789462385
489,"Rockingham County, North Carolina",93641,93329,92720,91878,91696,91758,91393,90949,90690,91010,91096,91266,91957,-0.017983575570529986,-0.001511127535197998
490,"Rowan County, North Carolina",138446,138019,138180,138323,138630,139142,139933,140644,141262,142088,146875,148150,149645,0.08089074440576116,0.006503176466330363
491,"Surry County, North Carolina",73694,73714,73561,73050,72968,72743,72113,72224,71948,71783,71359,71152,71403,-0.031088012592612735,-0.002628331496323133
492,"Union County, North Carolina",202206,205463,208520,212756,218568,222742,226606,231366,235908,239859,238267,243648,249070,0.2317636469738782,0.01752232942687937
493,"Wake County, North Carolina",906969,929780,952151,974289,998691,1024198,1046791,1072203,1092305,1111761,1129410,1150204,1175021,0.29554703633751545,0.02181223552062761
494,"Wayne County, North Carolina",122907,123697,124246,124583,124456,124132,124150,124172,123248,123131,117333,116835,117286,-0.0457337661809335,-0.0038934487454307387
495,"Wilkes County, North Carolina",69287,68984,69306,69023,68838,68502,68740,68576,68557,68412,65969,65806,65784,-0.05055782470016024,-0.0043140551758822365
496,"Wilson County, North Carolina",81359,81452,81867,81667,81401,81714,81661,81671,81455,81801,78784,78369,78449,-0.03576740127091038,-0.0030306257282061155
497,"Burleigh County, North Dakota",81666,83145,85774,88457,90503,92991,94487,95030,95273,95626,98458,98933,99280,0.21568339333382314,0.016408699807318072
498,"Cass County, North Dakota",150230,152368,156157,162829,167005,171512,175249,177787,181516,181923,184525,186562,192734,0.28292617985755175,0.020978991154811277
499,"Grand Forks County, North Dakota",66991,66598,67472,69179,70138,70916,71083,70795,70770,69451,73170,72705,72413,0.08093624516726128,0.006506707179128268
500,"Allen County, Ohio",106205,106094,105141,105298,105040,104425,103742,103198,102663,102351,102206,101670,101115,-0.047926180499976434,-0.004084361688654337
501,"Ashtabula County, Ohio",101429,101345,100389,99811,99175,98632,98231,97807,97493,97241,97574,97337,97014,-0.043527985093020694,-0.0037017771619554107
502,"Belmont County, Ohio",70319,70151,69671,69571,69461,69154,68673,68029,67505,67006,66497,65849,65509,-0.06840256545172718,-0.005887143687120955
503,"Butler County, Ohio",368630,369999,370589,371272,374158,376353,377537,380604,382378,383134,390357,390234,388420,0.053685267069961684,0.00436732554288044
504,"Clark County, Ohio",138193,137691,137206,136167,136554,135959,134786,134557,134585,134083,136001,135633,134831,-0.024328294486696156,-0.002050321584477932
505,"Clermont County, Ohio",197604,199139,199085,200218,201560,201973,203022,204214,205466,206428,208601,209642,210805,0.06680532782737192,0.00540358930209206
506,"Columbiana County, Ohio",107800,107570,106507,105893,105686,104806,103685,103077,102665,101883,101877,101310,100511,-0.06761595547309829,-0.005817221082520141
507,"Cuyahoga County, Ohio",1278208,1270294,1265111,1263154,1259828,1255921,1249352,1248514,1243857,1235072,1264817,1249387,1236041,-0.03298915356499099,-0.002791560246574454
508,"Delaware County, Ohio",175250,178341,181061,184979,189113,193013,196463,200464,204826,209177,214124,220740,226296,0.2912753209700427,0.021531047909659762
509,"Erie County, Ohio",77070,76751,76398,76048,75828,75550,75107,74817,74615,74266,75622,74852,74501,-0.033333333333333326,-0.0028211423839156202
510,"Fairfield County, Ohio",146351,147066,147474,148867,150381,151408,152597,154733,155782,157574,158921,161064,162898,0.11306379867578631,0.008966324813199478
511,"Franklin County, Ohio",1165897,1178799,1195537,1212263,1231393,1251722,1264518,1291981,1310300,1316756,1323807,1321414,1321820,0.13373651360283123,0.010514798261847647
512,"Geauga County, Ohio",93408,93228,93680,93972,94295,94102,94060,93918,94031,93649,95397,95565,95469,0.02206449126413146,0.0018203709328874496
513,"Greene County, Ohio",161605,162846,163587,163204,163820,164427,164765,166752,167995,168937,167966,168412,168456,0.04239349030042394,0.0034659510568821883
514,"Hamilton County, Ohio",802252,800362,802038,804520,806631,807598,809099,813822,816684,817473,830639,826139,825037,0.028401300339544244,0.002336513807126517
515,"Hancock County, Ohio",74727,75056,75671,75773,75337,75573,75872,75754,75930,75783,74920,74656,74861,0.001793193892435152,0.00014931014896069073
516,"Lake County, Ohio",230101,229885,229582,229857,229230,229245,228614,230117,230514,230149,232603,232023,231842,0.007566242649966748,0.0006283441760304154
517,"Licking County, Ohio",166701,167248,167537,168375,169390,170570,172198,173448,175769,176862,178519,180401,181359,0.08792988644339261,0.00704777815718538
518,"Lorain County, Ohio",301449,301614,301478,302827,304216,305147,306365,307924,309461,309833,312964,315595,316268,0.04915922759737135,0.004007099355402888
519,"Lucas County, Ohio",441468,440005,437998,436393,435286,433689,432488,430887,429899,428348,431279,429191,426643,-0.03358114291409575,-0.0028424475144225303
520,"Mahoning County, Ohio",238310,237270,235145,233869,233204,231900,230008,229796,229642,228683,228614,226762,225636,-0.05318282908816252,-0.004543751266819274
521,"Marion County, Ohio",66482,66212,66238,65905,65720,65355,65096,64967,65256,65093,65359,65291,64642,-0.027676664360277936,-0.0023361735559044305
522,"Medina County, Ohio",172592,173262,173684,174915,176029,176395,177221,178371,179146,179746,182470,183092,183512,0.06327060350421809,0.005125560372809312
523,"Miami County, Ohio",102461,102857,103060,103439,103900,104224,104679,105122,106222,106987,108774,109264,110247,0.0759898888357522,0.006122085890727158
524,"Montgomery County, Ohio",535059,537602,534325,535846,533116,532258,531239,531542,532331,531687,537309,535840,533892,-0.0021810678822336005,-0.00018193760359164202
525,"Muskingum County, Ohio",86142,86237,85950,85231,85818,86290,86068,86149,86183,86215,86410,86408,86113,-0.00033665343270417036,-2.8058782444384534e-05
526,"Portage County, Ohio",161386,161624,161451,163862,161882,162275,161921,162277,162927,162466,161791,162382,161745,0.002224480438204113,0.00018518463994432466
527,"Richland County, Ohio",124177,123510,122673,121773,121942,121707,121107,120589,121099,121154,124936,125195,125319,0.009196550085764699,0.0007631676739179305
528,"Ross County, Ohio",78090,78249,77429,77910,77159,77170,77000,77313,76931,76666,77093,76891,76606,-0.019003713663721333,-0.0015976062174976047
529,"Scioto County, Ohio",79506,79277,78477,78153,77258,76825,76088,75929,75502,75314,74008,73346,72194,-0.09196790179357528,-0.008007397828194707
530,"Stark County, Ohio",375321,375087,374868,375432,375736,375165,373612,372542,371574,370606,374853,373834,372657,-0.00709792417690458,-0.0005934267091752821
531,"Summit County, Ohio",541565,539832,540811,541824,541943,541968,540300,541228,541918,541013,540428,537633,535882,-0.010493661887308048,-0.0008787060940744773
532,"Trumbull County, Ohio",209936,209264,207406,206442,205175,203751,201825,200380,198627,197974,201977,201335,200643,-0.04426587150369632,-0.003765850738164156
533,"Tuscarawas County, Ohio",92542,92508,92392,92672,92788,92916,92420,92297,92176,91987,93263,92500,91937,-0.0065375721294115285,-0.0005464369532052205
534,"Warren County, Ohio",213192,214910,217241,219169,221659,224469,227063,228882,232173,234602,242337,246553,249778,0.17161056700063781,0.013285761339793645
535,"Wayne County, Ohio",114505,114611,114848,115071,115537,116063,116470,116038,115967,115710,116894,116710,116559,0.017938081306493103,0.0014826891327848202
536,"Wood County, Ohio",125502,126355,128200,129264,129590,129730,130219,130492,130696,130817,132248,132472,131592,0.04852512310560786,0.003956517436870088
537,"Canadian County, Oklahoma",116237,119492,122560,126123,129582,133378,136532,139926,144447,148306,154405,161737,169149,0.4552078942161273,0.031756198878619024
538,"Cleveland County, Oklahoma",256895,261281,265638,269340,269908,274458,278655,279641,281669,284014,295528,297597,299587,0.1661846279608401,0.0128938697692762
539,"Comanche County, Oklahoma",125368,125815,126390,124937,125033,124648,122136,121526,120422,120749,121125,122063,123046,-0.018521472784123527,-0.0015567156444974417
540,"Creek County, Oklahoma",70133,70467,70651,70470,70632,70892,71312,71704,71604,71522,71754,72029,72699,0.03658762636704549,0.002999003870765904
541,"Muskogee County, Oklahoma",71110,71003,70596,70303,69966,69699,69477,69086,68362,67997,66339,66146,66354,-0.06688229503585996,-0.005752053939587776
542,"Oklahoma County, Oklahoma",721178,732371,741781,755245,766215,776864,782970,787958,792582,797434,796292,798575,802559,0.11284454046019143,0.00894976061355135
543,"Payne County, Oklahoma",77448,77988,78399,79066,80264,80850,81131,81575,82040,81784,81646,81989,82794,0.0690269600247908,0.005577903192810929
544,"Pottawatomie County, Oklahoma",69608,70280,70760,71158,71811,71875,72290,72226,72679,72592,72454,73019,73533,0.05638719687392246,0.004581695834041666
545,"Rogers County, Oklahoma",86988,87706,88367,89044,89815,90802,91766,91444,91984,92459,95240,96695,98836,0.13620269462454582,0.010697794281673723
546,"Tulsa County, Oklahoma",605418,610599,613816,622409,629598,639242,642940,646266,648360,651552,669279,672858,677358,0.11882699225989324,0.009400645094940208
547,"Wagoner County, Oklahoma",73349,74098,75030,75700,75702,76559,77679,78657,80110,81289,80981,84050,86644,0.18125673151644883,0.013978371308159376
548,"Benton County, Oregon",85575,85928,86430,86591,86316,87572,89385,90951,92101,93053,95184,96017,97630,0.14087058136137887,0.011043167113477415
549,"Clackamas County, Oregon",376891,380207,383857,388263,394972,401515,408062,412672,416075,418187,421401,422537,423177,0.12281004322204558,0.009699615130071004
550,"Deschutes County, Oregon",157894,160338,162277,165954,170388,175268,181307,186875,191996,197692,198253,204801,206549,0.3081497713655996,0.022636891524308256
551,"Douglas County, Oregon",107638,107490,107164,106940,106972,107685,108457,109405,110283,110980,111201,111978,112297,0.043283970345045386,0.003537358570678606
552,"Jackson County, Oregon",203462,204822,206412,208545,210287,212567,216527,217479,219564,220944,223259,223734,221644,0.08936312431805438,0.0071582684461652946
553,"Josephine County, Oregon",82807,82987,82930,83306,83599,84745,85904,86352,87393,87487,88090,88346,87730,0.059451495646503316,0.004824208978066125
554,"Klamath County, Oregon",64723,65552,65912,65910,65455,66016,66443,66935,67653,68238,69413,70164,70212,0.08480756454428873,0.006806611345650637
555,"Lane County, Oregon",351983,353416,354542,356212,358337,362895,369519,374748,379611,382067,382971,383189,382353,0.08628257614714352,0.006920619796561667
556,"Linn County, Oregon",116910,118122,118360,118765,119356,120547,122849,125047,127335,129749,128610,129839,130467,0.11596099563766993,0.009184917600681297
557,"Marion County, Oregon",316096,318872,319985,323614,326110,330700,336316,341286,346868,347818,345920,347119,346703,0.09682817878112981,0.007731614152576727
558,"Multnomah County, Oregon",737902,748031,759256,766135,776712,790294,799766,807555,811880,812855,815428,803377,795083,0.07749131998558068,0.006239005961889532
559,"Polk County, Oregon",75625,75993,76353,76794,77916,79391,81823,83696,85234,86085,87433,89164,89614,0.18497851239669427,0.014244215763203893
560,"Umatilla County, Oregon",76079,76725,76820,76720,76705,76531,76456,76985,77516,77950,80075,79988,80215,0.05436454212069042,0.004421266394342593
561,"Washington County, Oregon",531744,540410,547672,554996,562998,574326,582779,588957,597695,601592,600372,600811,600176,0.1286935066498165,0.01013945736256594
562,"Yamhill County, Oregon",99391,100000,100255,100725,101758,102659,105035,105722,107002,107100,107722,108239,108226,0.08889134831121526,0.007121913301579852
563,"Adams County, Pennsylvania",101485,101434,101482,101546,101714,102295,102180,102336,102811,103009,103852,104127,106027,0.044755382568852475,0.0036552286429754055
564,"Allegheny County, Pennsylvania",1223583,1227066,1229338,1231527,1231255,1230459,1225365,1223048,1218452,1216045,1250578,1238090,1233253,0.00790301924757042,0.0006562113755963495
565,"Armstrong County, Pennsylvania",68839,68568,68409,68107,67785,67052,66486,65642,65263,64735,65558,65093,64747,-0.059443048272055043,-0.005093904950157047
566,"Beaver County, Pennsylvania",170567,170414,170245,170115,169392,168871,167429,166140,164742,163929,168215,166624,165677,-0.028669086048297765,-0.0024210704434389774
567,"Berks County, Pennsylvania",411850,412778,413491,413521,413691,415271,414812,417854,420152,421164,428849,429342,430449,0.04515964550200313,0.003687586190743053
568,"Blair County, Pennsylvania",127031,127099,127121,126314,125955,125593,124650,123457,122492,121829,122822,121767,121032,-0.04722469318512801,-0.004023233167669948
569,"Bucks County, Pennsylvania",625472,626854,627053,626976,626685,627367,626399,628341,628195,628270,646538,646098,645054,0.03130755653330608,0.002572258386501103
