,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
506,"Columbiana County, Ohio",107800,107570,106507,105893,105686,104806,103685,103077,102665,101883,101877,101310,100511
507,"Cuyahoga County, Ohio",1278208,1270294,1265111,1263154,1259828,1255921,1249352,1248514,1243857,1235072,1264817,1249387,1236041
508,"Delaware County, Ohio",175250,178341,181061,184979,189113,193013,196463,200464,204826,209177,214124,220740,226296
509,"Erie County, Ohio",77070,76751,76398,76048,75828,75550,75107,74817,74615,74266,75622,74852,74501
510,"Fairfield County, Ohio",146351,147066,147474,148867,150381,151408,152597,154733,155782,157574,158921,161064,162898
511,"Franklin County, Ohio",1165897,1178799,1195537,1212263,1231393,1251722,1264518,1291981,1310300,1316756,1323807,1321414,1321820
512,"Geauga County, Ohio",93408,93228,93680,93972,94295,94102,94060,93918,94031,93649,95397,95565,95469
513,"Greene County, Ohio",161605,162846,163587,163204,163820,164427,164765,166752,167995,168937,167966,168412,168456
514,"Hamilton County, Ohio",802252,800362,802038,804520,806631,807598,809099,813822,816684,817473,830639,826139,825037
515,"Hancock County, Ohio",74727,75056,75671,75773,75337,75573,75872,75754,75930,75783,74920,74656,74861
516,"Lake County, Ohio",230101,229885,229582,229857,229230,229245,228614,230117,230514,230149,232603,232023,231842
517,"Licking County, Ohio",166701,167248,167537,168375,169390,170570,172198,173448,175769,176862,178519,180401,181359
518,"Lorain County, Ohio",301449,301614,301478,302827,304216,305147,306365,307924,309461,309833,312964,315595,316268
519,"Lucas County, Ohio",441468,440005,437998,436393,435286,433689,432488,430887,429899,428348,431279,429191,426643
520,"Mahoning County, Ohio",238310,237270,235145,233869,233204,231900,230008,229796,229642,228683,228614,226762,225636
521,"Marion County, Ohio",66482,66212,66238,65905,65720,65355,65096,64967,65256,65093,65359,65291,64642
522,"Medina County, Ohio",172592,173262,173684,174915,176029,176395,177221,178371,179146,179746,182470,183092,183512
523,"Miami County, Ohio",102461,102857,103060,103439,103900,104224,104679,105122,106222,106987,108774,109264,110247
524,"Montgomery County, Ohio",535059,537602,534325,535846,533116,532258,531239,531542,532331,531687,537309,535840,533892
525,"Muskingum County, Ohio",86142,86237,85950,85231,85818,86290,86068,86149,86183,86215,86410,86408,86113
526,"Portage County, Ohio",161386,161624,161451,163862,161882,162275,161921,162277,162927,162466,161791,162382,161745
527,"Richland County, Ohio",124177,123510,122673,121773,121942,121707,121107,120589,121099,121154,124936,125195,125319
528,"Ross County, Ohio",78090,78249,77429,77910,77159,77170,77000,77313,76931,76666,77093,76891,76606
529,"Scioto County, Ohio",79506,79277,78477,78153,77258,76825,76088,75929,75502,75314,74008,73346,72194
530,"Stark County, Ohio",375321,375087,374868,375432,375736,375165,373612,372542,371574,370606,374853,373834,372657
531,"Summit County, Ohio",541565,539832,540811,541824,541943,541968,540300,541228,541918,541013,540428,537633,535882
532,"Trumbull County, Ohio",209936,209264,207406,206442,205175,203751,201825,200380,198627,197974,201977,201335,200643
533,"Tuscarawas County, Ohio",92542,92508,92392,92672,92788,92916,92420,92297,92176,91987,93263,92500,91937
534,"Warren County, Ohio",213192,214910,217241,219169,221659,224469,227063,228882,232173,234602,242337,246553,249778
535,"Wayne County, Ohio",114505,114611,114848,115071,115537,116063,116470,116038,115967,115710,116894,116710,116559
536,"Wood County, Ohio",125502,126355,128200,129264,129590,129730,130219,130492,130696,130817,132248,132472,131592
537,"Canadian County, Oklahoma",116237,119492,122560,126123,129582,133378,136532,139926,144447,148306,154405,161737,169149
538,"Cleveland County, Oklahoma",256895,261281,265638,269340,269908,274458,278655,279641,281669,284014,295528,297597,299587
539,"Comanche County, Oklahoma",125368,125815,126390,124937,125033,124648,122136,121526,120422,120749,121125,122063,123046
540,"Creek County, Oklahoma",70133,70467,70651,70470,70632,70892,71312,71704,71604,71522,71754,72029,72699
541,"Muskogee County, Oklahoma",71110,71003,70596,70303,69966,69699,69477,69086,68362,67997,66339,66146,66354
542,"Oklahoma County, Oklahoma",721178,732371,741781,755245,766215,776864,782970,787958,792582,797434,796292,798575,802559
543,"Payne County, Oklahoma",77448,77988,78399,79066,80264,80850,81131,81575,82040,81784,81646,81989,82794
544,"Pottawatomie County, Oklahoma",69608,70280,70760,71158,71811,71875,72290,72226,72679,72592,72454,73019,73533
545,"Rogers County, Oklahoma",86988,87706,88367,89044,89815,90802,91766,91444,91984,92459,95240,96695,98836
546,"Tulsa County, Oklahoma",605418,610599,613816,622409,629598,639242,642940,646266,648360,651552,669279,672858,677358
547,"Wagoner County, Oklahoma",73349,74098,75030,75700,75702,76559,77679,78657,80110,81289,80981,84050,86644
548,"Benton County, Oregon",85575,85928,86430,86591,86316,87572,89385,90951,92101,93053,95184,96017,97630
549,"Clackamas County, Oregon",376891,380207,383857,388263,394972,401515,408062,412672,416075,418187,421401,422537,423177
550,"Deschutes County, Oregon",157894,160338,162277,165954,170388,175268,181307,186875,191996,197692,198253,204801,206549
551,"Douglas County, Oregon",107638,107490,107164,106940,106972,107685,108457,109405,110283,110980,111201,111978,112297
552,"Jackson County, Oregon",203462,204822,206412,208545,210287,212567,216527,217479,219564,220944,223259,223734,221644
553,"Josephine County, Oregon",82807,82987,82930,83306,83599,84745,85904,86352,87393,87487,88090,88346,87730
554,"Klamath County, Oregon",64723,65552,65912,65910,65455,66016,66443,66935,67653,68238,69413,70164,70212
555,"Lane County, Oregon",351983,353416,354542,356212,358337,362895,369519,374748,379611,382067,382971,383189,382353
556,"Linn County, Oregon",116910,118122,118360,118765,119356,120547,122849,125047,127335,129749,128610,129839,130467
557,"Marion County, Oregon",316096,318872,319985,323614,326110,330700,336316,341286,346868,347818,345920,347119,346703
558,"Multnomah County, Oregon",737902,748031,759256,766135,776712,790294,799766,807555,811880,812855,815428,803377,795083
559,"Polk County, Oregon",75625,75993,76353,76794,77916,79391,81823,83696,85234,86085,87433,89164,89614
560,"Umatilla County, Oregon",76079,76725,76820,76720,76705,76531,76456,76985,77516,77950,80075,79988,80215
561,"Washington County, Oregon",531744,540410,547672,554996,562998,574326,582779,588957,597695,601592,600372,600811,600176
562,"Yamhill County, Oregon",99391,100000,100255,100725,101758,102659,105035,105722,107002,107100,107722,108239,108226
563,"Adams County, Pennsylvania",101485,101434,101482,101546,101714,102295,102180,102336,102811,103009,103852,104127,106027
564,"Allegheny County, Pennsylvania",1223583,1227066,1229338,1231527,1231255,1230459,1225365,1223048,1218452,1216045,1250578,1238090,1233253
565,"Armstrong County, Pennsylvania",68839,68568,68409,68107,67785,67052,66486,65642,65263,64735,65558,65093,64747
566,"Beaver County, Pennsylvania",170567,170414,170245,170115,169392,168871,167429,166140,164742,163929,168215,166624,165677
567,"Berks County, Pennsylvania",411850,412778,413491,413521,413691,415271,414812,417854,420152,421164,428849,429342,430449
568,"Blair County, Pennsylvania",127031,127099,127121,126314,125955,125593,124650,123457,122492,121829,122822,121767,121032
569,"Bucks County, Pennsylvania",625472,626854,627053,626976,626685,627367,626399,628341,628195,628270,646538,646098,645054
570,"Butler County, Pennsylvania",184059,184848,184970,185476,185943,186818,186847,187108,187888,187853,193763,194273,197300
571,"Cambria County, Pennsylvania",143498,143728,141584,140499,137732,136411,134732,133054,131730,130192,133472,132167,131441
572,"Carbon County, Pennsylvania",65220,65154,65006,64786,64441,63960,63594,63853,64227,64182,64749,65412,65460
573,"Centre County, Pennsylvania",154127,154722,155171,155403,158742,160580,161464,162660,162805,162385,158172,157527,158425
574,"Chester County, Pennsylvania",499797,503897,506575,509468,512784,515939,516312,519293,522046,524989,534413,538649,545823
575,"Clearfield County, Pennsylvania",81562,81445,81184,81174,81191,80994,80596,79685,79388,79255,80562,80082,77904
576,"Crawford County, Pennsylvania",88657,88740,87598,87376,87175,86484,86257,86159,85063,84629,83938,83351,82670
577,"Cumberland County, Pennsylvania",235861,237892,238614,241212,243762,246338,248506,250066,251423,253370,259469,262919,268579
578,"Dauphin County, Pennsylvania",268220,268977,269665,270937,271453,272983,273707,275710,277097,278299,286401,287400,288800
579,"Delaware County, Pennsylvania",559276,559494,561098,561973,562960,563894,563402,564696,564751,566747,576830,573849,575182
580,"Erie County, Pennsylvania",280686,280985,280646,280294,278443,278045,276207,274541,272061,269728,270876,269011,267689
581,"Fayette County, Pennsylvania",136446,136097,135660,134999,134086,133628,132733,131504,130441,129274,128804,126931,125755
582,"Franklin County, Pennsylvania",149834,150811,151275,152085,152892,153638,153851,154234,154835,155027,155932,156289,156902
583,"Indiana County, Pennsylvania",88847,89298,88218,87745,87706,86966,86364,84953,84501,84073,83246,82886,82957
584,"Lackawanna County, Pennsylvania",214367,214166,214477,213931,212719,211917,211321,210761,210793,209674,215896,215663,215615
585,"Lancaster County, Pennsylvania",520156,523594,526823,529600,533320,536624,538500,542903,543557,545724,552984,553652,556629
586,"Lawrence County, Pennsylvania",90968,90535,89871,89333,88771,88082,87294,87069,86184,85512,86070,85497,84849
587,"Lebanon County, Pennsylvania",133688,134311,135251,135486,136359,137067,138863,139754,141314,141793,143257,143493,144011
588,"Lehigh County, Pennsylvania",350106,352947,355245,355092,357823,360685,363147,366494,368100,369318,374557,375539,376317
589,"Luzerne County, Pennsylvania",320795,320651,321027,320103,318829,318449,316383,317343,317646,317417,325594,326053,326369
590,"Lycoming County, Pennsylvania",116143,116747,117168,116754,116508,116048,115248,113841,113664,113299,114188,113605,113104
591,"Mercer County, Pennsylvania",116558,116205,115655,115195,114884,114234,112913,111750,110683,109424,110652,109972,109220
592,"Monroe County, Pennsylvania",169896,169882,168798,167148,166314,166397,166098,168046,169507,170271,168327,169273,167198
593,"Montgomery County, Pennsylvania",801052,804210,808460,812376,816857,819264,821725,826075,828604,830915,856553,860578,864683
594,"Northampton County, Pennsylvania",298101,298476,299267,299791,300654,300813,302294,303405,304807,305285,312951,313628,318526
595,"Northumberland County, Pennsylvania",94366,94558,94428,94076,93944,93246,92541,92029,91083,90843,91647,91266,90133
596,"Philadelphia County, Pennsylvania",1528306,1536471,1547607,1553165,1560297,1567442,1567872,1580863,1584138,1584064,1603797,1576251,1567258
597,"Schuylkill County, Pennsylvania",148228,147513,147063,146920,145797,144590,143573,142569,142067,141359,143049,143264,143104
598,"Somerset County, Pennsylvania",77626,77405,76957,76520,76218,75522,75061,74501,73952,73447,74129,73627,72710
599,"Washington County, Pennsylvania",207875,208282,208716,208206,208187,208261,207981,207298,207346,206865,209349,209470,210383
600,"Westmoreland County, Pennsylvania",365012,364471,363395,362437,359320,357956,355458,352627,350611,348899,354663,353057,352057
601,"York County, Pennsylvania",435490,436770,437846,438965,440755,442867,443744,446078,448273,449058,456438,458696,461058
602,"Kent County, Rhode Island",166103,165535,164843,165035,165128,164801,164614,163760,163861,164292,170363,170715,171275
603,"Newport County, Rhode Island",82852,82695,82036,82397,82358,82423,82784,83460,82542,82082,85643,85264,84481
604,"Providence County, Rhode Island",627070,626709,628323,628600,631974,633473,633673,637357,636084,638931,660741,658221,657288
605,"Washington County, Rhode Island",127008,126563,125946,126259,126653,126517,126288,126150,126179,125577,129839,130592,130330
606,"Aiken County, South Carolina",160565,160682,162812,164176,164753,165829,167458,168179,169401,170872,168808,170776,174150
607,"Anderson County, South Carolina",187269,188488,189355,190641,192810,194692,196569,198759,200482,202558,203718,206908,209581
608,"Beaufort County, South Carolina",162989,164684,168049,171838,175852,179589,183149,186844,188715,192122,187117,191748,196371
609,"Berkeley County, South Carolina",178783,183525,189781,194020,198205,202786,210898,217937,221091,227907,229861,236701,245117
610,"Charleston County, South Carolina",351482,357704,365162,372803,381015,389262,396484,401438,405905,411406,408235,413024,419279
611,"Dorchester County, South Carolina",137476,140892,142496,145397,148469,152478,153773,156456,160647,162809,161540,163327,166133
612,"Florence County, South Carolina",137088,137862,137948,138326,139231,138900,138742,138566,138159,138293,137059,136504,136721
613,"Greenville County, South Carolina",452859,461299,467605,474266,482752,491863,498766,506837,514213,523542,525534,533834,547950
614,"Greenwood County, South Carolina",69703,69835,69756,69723,69520,69838,70133,70355,70741,70811,69351,69241,69267
615,"Horry County, South Carolina",270430,276340,282285,289650,298832,309199,322342,333268,344147,354081,351029,365579,383101
616,"Lancaster County, South Carolina",76889,77908,79089,80458,83160,85842,89594,92550,95380,98012,96016,100336,104577
617,"Laurens County, South Carolina",66500,66528,66223,66229,66533,66623,66777,66848,66994,67493,67539,67803,67965
618,"Lexington County, South Carolina",263406,267129,270406,273752,277888,281833,286196,290642,295032,298750,293991,300137,304797
619,"Oconee County, South Carolina",74359,74418,74627,75045,75192,75713,76355,77270,78374,79546,78607,79203,80180
620,"Orangeburg County, South Carolina",92346,91910,91476,90942,90090,89208,87903,87476,86934,86175,84223,82962,83094
621,"Pickens County, South Carolina",119217,119574,119670,119829,120368,121691,122863,123479,124937,126884,131404,132229,133462
622,"Richland County, South Carolina",385745,389116,393830,399256,401566,407051,409549,411592,414576,415759,416147,418307,421566
623,"Spartanburg County, South Carolina",284713,286868,288745,290969,293542,297302,301463,306854,313888,319785,327997,335864,345831
624,"Sumter County, South Carolina",107570,107460,108052,108123,107919,107480,107396,106847,106512,106721,105556,104758,104012
625,"York County, South Carolina",226971,230528,234635,239363,245346,251195,258526,266439,274118,280979,282090,288595,294248
626,"Minnehaha County, South Dakota",169987,171752,175037,179640,182882,185197,187318,188616,192876,193134,197214,199685,203971
627,"Pennington County, South Dakota",101348,102815,104347,105761,108242,108702,109372,110141,111729,113775,109222,111806,114461
628,"Anderson County, Tennessee",75160,75233,75416,75542,75528,75749,75936,76257,76482,76978,77123,77576,78913
629,"Blount County, Tennessee",123119,123901,124177,125099,126339,127253,128670,129929,131349,133088,135280,137605,139958
630,"Bradley County, Tennessee",99078,100055,101134,101848,102975,104091,104490,105560,106727,108110,108620,110162,110616
631,"Davidson County, Tennessee",628133,635475,648295,658602,668347,678889,684410,691243,692587,694144,715884,703953,708144
632,"Greene County, Tennessee",68797,69339,68819,68267,68335,68580,68615,68808,69087,69069,70152,70621,71405
633,"Hamilton County, Tennessee",337294,340855,345545,348673,351220,354098,357738,361613,364286,367804,366207,369135,374682
634,"Knox County, Tennessee",433108,436929,441311,444622,448644,451324,456132,461860,465289,470313,478971,486677,494574
635,"Madison County, Tennessee",98395,98255,98656,98733,98178,97610,97663,97643,97605,97984,98823,98775,99245
636,"Maury County, Tennessee",81141,81509,81990,83761,85515,87757,89981,92163,94340,96387,100974,104760,108159
637,"Montgomery County, Tennessee",173307,176619,184468,184119,189961,193479,195734,200182,205950,208993,220069,227900,235201
638,"Putnam County, Tennessee",72564,72958,73229,73525,74165,74553,75931,77674,78843,80245,79854,81188,82382
639,"Robertson County, Tennessee",66469,67106,66931,67383,68079,68570,69165,70177,71012,71813,72803,74098,75470
640,"Rutherford County, Tennessee",263740,268921,274454,281029,288906,298612,308251,317157,324890,332285,341486,352182,360619
641,"Sevier County, Tennessee",90072,91466,92512,93570,95110,95946,96673,97638,97892,98250,98380,99517,98789
642,"Shelby County, Tennessee",929030,935088,940764,939465,938803,938069,934603,936961,935764,937166,929744,924454,916371
643,"Sullivan County, Tennessee",156794,157419,156786,156595,157047,156791,156667,157158,157668,158348,158163,159265,160820
644,"Sumner County, Tennessee",161250,163686,166123,168888,172706,175989,180063,183545,187149,191283,196281,200557,203858
645,"Washington County, Tennessee",123338,124353,125094,125546,126242,126302,127440,127806,128607,129375,133001,134236,136172
646,"Williamson County, Tennessee",184035,188560,192911,198901,205226,211672,219107,226257,231729,238412,247726,255735,260815
647,"Wilson County, Tennessee",114537,116617,118961,121945,125376,128911,132781,136442,140625,144657,147737,151917,158555
648,"Angelina County, Texas",86953,87669,87597,87441,87750,88255,87791,87805,87092,86715,86395,86506,87101
649,"Bastrop County, Texas",74403,75115,74763,75825,78069,80527,82733,84761,86976,88723,97216,102058,106188
650,"Bell County, Texas",313000,315196,323037,326843,329140,334941,340411,347833,355642,362924,370647,379617,388386
651,"Bexar County, Texas",1723780,1756153,1785704,1817610,1855866,1897753,1928680,1958578,1986049,2003554,2009324,2028236,2059530
652,"Bowie County, Texas",92723,92793,93148,93487,93275,93389,93860,94012,94324,93245,92893,92581,92035
653,"Brazoria County, Texas",314494,319973,324769,330242,338124,346312,354195,362457,370200,374264,372031,379689,388181
654,"Brazos County, Texas",195693,197632,200665,203164,209152,215037,220417,222830,226758,229211,233849,237032,242014
655,"Cameron County, Texas",408054,414123,415557,417276,420392,422156,422135,423725,423908,423163,421017,423029,425208
656,"Collin County, Texas",788407,812226,834642,854778,885241,914127,939585,969603,1005146,1034730,1064465,1109462,1158696
657,"Comal County, Texas",109382,111963,114384,118480,123694,129048,134788,141009,148373,156209,161501,174986,184642
658,"Coryell County, Texas",75645,76508,77231,76192,75562,75503,74686,74913,74808,75951,83093,84232,85057
659,"Dallas County, Texas",2377351,2416014,2453843,2480331,2518638,2553385,2574984,2618148,2637772,2635516,2613539,2586050,2600840
660,"Denton County, Texas",667053,686406,707304,728799,753363,780612,806180,836210,859064,887207,906422,941647,977281
661,"Ector County, Texas",137145,140111,144325,149378,153904,159436,157462,157087,162124,166223,165171,161091,160869
662,"Ellis County, Texas",150462,152753,153969,155976,159317,163632,168499,173620,179436,184826,192455,202678,212182
663,"El Paso County, Texas",804338,820790,827398,827718,833487,835593,837918,840410,840758,839238,865657,867947,868763
664,"Fort Bend County, Texas",590350,606953,627293,652365,685345,716087,741237,764828,787858,811688,822779,858527,889146
665,"Galveston County, Texas",292607,295747,300484,306782,314198,322225,329431,335036,337890,342139,350682,355062,357117
666,"Grayson County, Texas",121145,121419,121935,122353,123534,125467,128235,131140,133991,136212,135543,139336,143131
667,"Gregg County, Texas",121854,123081,122658,123024,123204,124108,123745,123367,123707,123945,124239,124201,125443
668,"Guadalupe County, Texas",132431,135757,139841,143183,147250,151249,155265,159659,163694,166847,172706,177036,182760
669,"Harris County, Texas",4110771,4180894,4253700,4336853,4441370,4538028,4589928,4652980,4698619,4713325,4731145,4728030,4780913
670,"Harrison County, Texas",65766,66296,67450,66886,67336,66746,66534,66661,66726,66553,68839,69150,69955
671,"Hays County, Texas",158312,164050,168990,176026,185025,194739,204470,214485,222631,230191,241067,255397,269225
672,"Henderson County, Texas",78647,78826,79094,78675,79290,79545,79901,81064,82299,82737,82150,83667,84511
673,"Hidalgo County, Texas",780087,797810,806552,815996,831073,842304,849843,860661,865939,868707,870781,880356,888367
674,"Hunt County, Texas",86353,86531,87079,87048,88493,89844,92073,93872,96493,98594,99956,103394,108282
675,"Jefferson County, Texas",252390,252802,251813,252358,252235,254308,254679,256299,255001,251565,256526,253704,250830
676,"Johnson County, Texas",151211,152734,153441,154707,157456,159990,163274,167301,171361,175817,179927,187280,195506
677,"Kaufman County, Texas",103927,105358,106753,108568,111236,114690,118350,122883,128622,136154,145310,157768,172366
678,"Liberty County, Texas",75868,76206,76571,76907,78117,79654,81704,83658,86323,88219,91628,97621,101992
679,"Lubbock County, Texas",280237,283910,285760,289324,293974,299453,303137,305225,307412,310569,310639,314451,317561
680,"McLennan County, Texas",236028,238564,238707,241481,243441,245671,247934,251259,254607,256623,260579,263115,266836
681,"Midland County, Texas",136975,140308,146645,151468,155830,161077,162565,165049,172578,176832,169983,167969,171999
682,"Montgomery County, Texas",459018,471734,485047,499137,518947,537559,556203,570934,590925,607391,620443,648886,678490
683,"Nueces County, Texas",340480,343281,347691,352107,356221,359715,361350,361221,362265,362294,353178,353079,351674
684,"Orange County, Texas",81930,82487,82977,82957,83433,84260,84964,85047,83572,83396,84808,84742,84934
685,"Parker County, Texas",117283,118376,119712,121418,123164,126042,129441,133463,138371,142878,148222,156764,165834
686,"Potter County, Texas",121446,122285,122335,121661,121627,121802,120832,120458,119648,117415,118525,116547,115645
687,"Randall County, Texas",121208,123351,125082,126474,128220,130269,132501,134442,136271,137713,140753,143854,146140
688,"Rockwall County, Texas",79003,81290,83021,85245,87809,90861,93978,96788,100657,104915,107819,116381,123208
689,"San Patricio County, Texas",64586,64726,65600,66137,66915,67357,67655,67215,66893,66730,68755,69699,69954
690,"Smith County, Texas",210512,213381,214821,216080,218842,222936,225290,227727,230221,232751,233479,237186,241922
691,"Tarrant County, Texas",1817658,1849815,1880153,1911541,1945360,1982498,2016872,2054475,2084931,2102515,2110640,2126477,2154595
692,"Taylor County, Texas",131896,132755,133473,134117,135143,136051,136535,136290,137640,138034,143208,143326,145163
693,"Tom Green County, Texas",110679,111823,113281,114954,116608,118105,118386,118019,118189,119200,120003,119411,118892
694,"Travis County, Texas",1030806,1063130,1095584,1120954,1151145,1176558,1199323,1226698,1248743,1273954,1290188,1305154,1326436
695,"Victoria County, Texas",86878,87545,89269,90028,91081,92382,92467,92084,92035,92084,91319,90964,91065
696,"Walker County, Texas",68185,68087,68408,68817,69789,70699,71484,72245,72480,72971,76400,77977,78870
697,"Webb County, Texas",251632,256496,259172,262495,266673,269721,271193,274794,275910,276652,267114,267945,267780
698,"Wichita County, Texas",131685,130698,131559,132047,132355,131705,131838,132000,132064,132230,129350,130069,129978
699,"Williamson County, Texas",426645,442782,456232,471014,489250,508514,528718,547545,566719,590551,609017,643026,671418
700,"Cache County, Utah",113417,114699,115520,116909,118343,120783,122753,124438,127068,128289,133154,137417,140173
701,"Davis County, Utah",307856,311811,315809,322094,329692,336043,342281,347637,351713,355481,362679,367285,369948
702,"Salt Lake County, Utah",1033910,1048985,1063842,1079721,1091742,1107314,1121354,1135649,1152633,1160437,1185238,1186421,1186257
703,"Utah County, Utah",520049,530499,540504,551891,560974,575205,592299,606425,622213,636235,659399,684986,702434
704,"Washington County, Utah",138451,141666,144809,147800,151948,155602,160245,165662,171700,177556,180279,191226,197680
705,"Weber County, Utah",232228,234420,236640,238519,240475,243645,247560,251769,256359,260213,262223,267066,269561
706,"Chittenden County, Vermont",156705,157491,158504,159515,160531,161382,161531,162372,164572,163774,168323,168865,169301
707,"Albemarle County, Virginia",99150,100553,102251,103000,104489,105703,106878,107702,108718,109330,112395,113535,114534
708,"Arlington County, Virginia",209457,216004,221045,224906,226908,229164,230050,234965,237521,236842,238643,232965,234000
709,"Augusta County, Virginia",74192,74897,73658,73912,73862,74314,74997,75144,75457,75558,77487,77563,78064
710,"Bedford County, Virginia",68735,69246,69590,69825,76583,77724,77960,77974,78747,78997,79462,80131,80848
711,"Chesterfield County, Virginia",317102,320277,323856,327745,332499,335687,339009,343599,348556,352802,364548,370688,378408
712,"Fairfax County, Virginia",1086743,1100692,1118602,1130924,1137538,1142234,1138652,1148433,1150795,1147532,1150309,1139720,1138331
713,"Fauquier County, Virginia",62971,66320,66542,67207,68248,68782,69069,69465,70675,71222,72972,73815,74664
714,"Frederick County, Virginia",78511,79666,80317,81319,82377,83199,84421,86484,88355,89313,91419,93717,95051
715,"Hanover County, Virginia",99948,100342,100668,101330,101918,103227,104392,105923,107239,107766,109979,111603,112938
716,"Henrico County, Virginia",307435,310445,314932,318611,321924,325155,326501,327898,329261,330818,334389,333554,333962
717,"James City County, Virginia",67237,68200,68967,70516,72583,73147,74404,75524,76397,76523,78254,79882,81199
718,"Loudoun County, Virginia",315134,325405,336898,349679,363050,375629,385945,398080,406850,413538,420959,427592,432085
719,"Montgomery County, Virginia",94531,94342,95194,96207,97244,97653,98602,98559,98985,98535,99721,98473,98915
720,"Prince William County, Virginia",406110,419006,430289,438580,446094,451721,455210,463023,468011,470335,482204,484472,486943
721,"Roanoke County, Virginia",92389,92740,92901,93524,93785,94409,94031,93730,94073,94186,96929,96589,96914
722,"Rockingham County, Virginia",76413,76589,77391,77741,78171,78593,79744,80227,81244,81948,83757,84394,85397
723,"Spotsylvania County, Virginia",122853,124327,125684,127348,129188,130475,132010,133033,134238,136215,140032,143676,146688
724,"Stafford County, Virginia",129745,132133,134352,136788,139992,142003,144361,146649,149960,152882,156927,160877,163380
725,"York County, Virginia",65467,66134,66146,66269,66342,67837,67976,67739,67846,68280,70045,70915,71341
726,"Alexandria city, Virginia",140912,144301,146294,148892,150575,153511,155810,160035,160530,159428,159467,154706,155525
727,"Chesapeake city, Virginia",222986,225050,228417,230571,233371,235429,237940,240397,242634,244835,249422,251269,252488
728,"Hampton city, Virginia",137381,136401,136836,136699,136879,136454,135410,134669,134313,134510,137148,137746,138037
729,"Lynchburg city, Virginia",75686,76503,77113,78014,79047,79812,80212,80995,82126,82168,79009,79009,79287
730,"Newport News city, Virginia",180712,179611,180726,182020,182965,182385,181825,179388,178626,179225,186247,184587,184306
731,"Norfolk city, Virginia",243135,242628,245782,246139,245428,246393,245115,244703,244076,242742,238005,235089,232995
732,"Portsmouth city, Virginia",95696,95684,96470,96205,96004,96201,95252,94572,94632,94398,97915,97840,97029
733,"Richmond city, Virginia",204389,205533,210309,214114,217853,220289,223170,227032,228783,230436,226610,226604,229395
734,"Roanoke city, Virginia",96967,96714,97469,98465,99428,99897,99660,99837,99920,99143,100011,98865,97847
735,"Suffolk city, Virginia",84906,84930,85181,85728,86806,88161,89273,90237,91185,92108,94324,96194,98537
736,"Virginia Beach city, Virginia",439172,442707,447021,448479,450980,452745,452602,450435,450189,449974,459470,457672,455618
737,"Benton County, Washington",176455,180678,182398,184486,186486,190309,193686,198171,201877,204390,206873,210025,212791
738,"Chelan County, Washington",72735,73477,73687,73967,74588,75644,76338,76533,77036,77200,79074,79646,79926
739,"Clallam County, Washington",71515,71838,71863,72312,72715,73486,74570,75474,76737,77331,77155,78209,77805
740,"Clark County, Washington",427044,433418,438287,443817,451008,459495,467018,474643,481857,488241,503311,511404,516779
741,"Cowlitz County, Washington",102501,102478,101996,101860,102133,103468,105160,106910,108987,110593,110730,111524,111956
742,"Franklin County, Washington",79223,83455,85845,86638,87809,88807,90160,92125,94347,95222,96749,98268,98678
743,"Grant County, Washington",89744,91265,91723,91878,93147,93259,93546,95158,97331,97733,99123,100297,101311
744,"Grays Harbor County, Washington",72882,72546,71692,71078,70818,71122,71628,72697,73901,75061,75636,76841,77038
745,"Island County, Washington",78681,78971,79177,78801,79275,80593,82636,83159,84460,85141,86857,87432,86625
746,"King County, Washington",1937961,1969722,2007440,2044449,2079967,2117125,2149970,2188649,2233163,2252782,2269675,2252305,2266789
747,"Kitsap County, Washington",251809,254633,254991,253968,254183,260131,264811,266414,269805,271473,275611,274314,277673
748,"Lewis County, Washington",75487,75901,75621,75081,75128,75882,77066,78200,79604,80707,82149,84398,85370
749,"Pierce County, Washington",795628,807904,811681,819743,831928,843954,861312,876764,891299,904980,921130,925708,927380
750,"Skagit County, Washington",117102,118109,118222,118837,120365,121846,123681,125619,128206,129205,129523,130696,131179
751,"Snohomish County, Washington",715470,722400,733036,745913,759583,772501,787620,801633,814901,822083,827957,833540,840079
752,"Spokane County, Washington",472147,473761,475735,479398,484318,490945,499072,506152,514631,522798,539339,546040,549690
753,"Thurston County, Washington",253087,256591,258332,262388,265851,269536,275222,280588,286419,290536,294793,297977,298758
754,"Whatcom County, Washington",201628,203663,205262,206353,208351,212284,216800,221404,225685,229247,226847,228831,230677
755,"Yakima County, Washington",244485,247141,246977,247044,247687,248830,249636,250193,251446,250873,256728,256035,257001
756,"Berkeley County, West Virginia",104641,105750,107098,108706,110497,111901,113525,114920,117123,119171,122076,126069,129490
757,"Cabell County, West Virginia",96378,96653,96974,97133,97109,96844,95987,94958,93224,91945,94350,93418,92730
758,"Harrison County, West Virginia",69233,69436,69141,68972,68761,68714,68400,67811,67554,67256,65921,65158,64915
759,"Kanawha County, West Virginia",192976,192315,192179,191275,190223,188332,186241,183293,180454,178124,180745,177952,175515
760,"Monongalia County, West Virginia",96791,98528,100332,102274,103463,104236,104622,105030,106420,105612,105822,106387,106869
761,"Raleigh County, West Virginia",78904,79127,79021,78833,78241,77510,76601,75022,74254,73361,74591,73771,72882
762,"Wood County, West Virginia",86990,87120,86701,86569,86237,86452,85643,85104,84203,83518,84296,83624,83340
