,GeoName,Income,Year,GeoFips
281,"Irion, TX",44227,2010,48235
282,"Logan, KS",44192,2010,20109
283,"Windsor, VT",44155,2010,50027
284,"Wilkin, MN",44148,2010,27167
285,"Scott, IA",44114,2010,19163
286,"Sweetwater, WY",44062,2010,56037
287,"Nassau, FL",44017,2010,12089
288,"Belknap, NH",44005,2010,33001
289,"Warren, NJ",44005,2010,34041
290,"Cook, IL",44003,2010,17031
291,"Meade, KS",44001,2010,20119
292,"Murray, MN",43989,2010,27101
293,"Young, TX",43971,2010,48503
294,"Lehigh, PA",43942,2010,42077
295,"Dickinson, IA",43898,2010,19059
296,"San Diego, CA",43889,2010,06073
297,"Washington, WI",43875,2010,55131
298,"Kenai Peninsula Borough, AK*",43811,2010,02122
299,"Eagle, CO",43781,2010,08037
300,"Plaquemines, LA",43733,2010,22075
301,"Warren, OH",43693,2010,39165
302,"Hudson, NJ",43675,2010,34017
303,"Lewis, ID",43649,2010,16061
304,"Santa Fe, NM",43645,2010,35049
305,"Washoe, NV",43605,2010,32031
306,"Grundy, IL",43595,2010,17063
307,"Worcester, MA",43559,2010,25027
308,"Hamilton, OH",43548,2010,39061
309,"Kiowa, CO",43547,2010,08061
310,"Washington, TX",43537,2010,48477
311,"Lancaster, VA",43528,2010,51103
312,"Mercer, ND",43505,2010,38057
313,"Silver Bow, MT",43446,2010,30093
314,"Eddy, NM",43348,2010,35015
315,"Deuel, SD",43329,2010,46039
316,"Summit, CO",43324,2010,08117
317,"Lipscomb, TX",43322,2010,48295
318,"Laramie, WY",43320,2010,56021
319,"Door, WI",43310,2010,55029
320,"Richmond, NY",43308,2010,36085
321,"Worcester, MD",43279,2010,24047
322,"Turner, SD",43266,2010,46125
323,"Douglas, MN",43255,2010,27041
324,"Cass, ND",43248,2010,38017
325,"Washington, NE",43240,2010,31177
326,"Ochiltree, TX",43237,2010,48357
327,"Butler, PA",43222,2010,42019
328,"Gillespie, TX",43210,2010,48171
329,"Phelps, NE",43198,2010,31137
330,"Mills, IA",43150,2010,19129
331,"Lampasas, TX",43137,2010,48281
332,"Arapahoe, CO",43121,2010,08005
333,"Boone, NE",43078,2010,31011
334,"Ford, IL",43021,2010,17053
335,"Smith, TX",43014,2010,48423
336,"Mora, NM",43006,2010,35033
337,"Dillingham Census Area, AK*",43005,2010,02070
338,"Oldham, TX",42978,2010,48359
339,"Midland, MI",42939,2010,26111
340,"Coffey, KS",42928,2010,20031
341,"Onslow, NC",42865,2010,37133
342,"Piatt, IL",42823,2010,17147
343,"Sonoma, CA",42813,2010,06097
344,"Moultrie, IL",42807,2010,17139
345,"Thomas, KS",42801,2010,20193
346,"Los Angeles, CA",42794,2010,06037
347,"Russell, KS",42776,2010,20167
348,"Jefferson, LA",42761,2010,22051
349,"Washington, PA",42699,2010,42125
350,"Ellis, OK",42627,2010,40045
351,"Emmons, ND",42616,2010,38029
352,"Cumberland, PA",42585,2010,42041
353,"Ransom, ND",42574,2010,38073
354,"Polk, IA",42560,2010,19153
355,"Carroll, NH",42525,2010,33003
356,"McIntosh, ND",42524,2010,38051
357,"Orleans, LA",42466,2010,22071
358,"Inyo, CA",42443,2010,06027
359,"Chesterfield, VA",42441,2010,51041
360,"Gregg, TX",42438,2010,48183
361,"Cochran, TX",42437,2010,48079
362,"Lake, SD",42404,2010,46079
363,"Graham, KS",42392,2010,20065
364,"Suffolk (Independent City), VA",42364,2010,51800
365,"Dutchess, NY",42345,2010,36027
366,"McHenry, IL",42329,2010,17111
367,"Bryan, GA",42319,2010,13029
368,"Wheeler, TX",42303,2010,48483
369,"Clackamas, OR",42273,2010,41005
370,"Denton, TX",42266,2010,48121
371,"Shelby, AL",42242,2010,01117
372,"Chesapeake (Independent City), VA",42229,2010,51550
373,"Adams, ND",42195,2010,38001
374,"Kitsap, WA",42193,2010,53035
375,"Gloucester, NJ",42186,2010,34015
376,"Richmond (Independent City), VA",42175,2010,51760
377,"Kidder, ND",42166,2010,38043
378,"Oklahoma, OK",42158,2010,40109
379,"Throckmorton, TX",42104,2010,48447
380,"Grundy, IA",42092,2010,19075
381,"Jefferson, AL",42087,2010,01073
382,"Cimarron, OK",42066,2010,40025
383,"Kingsbury, SD",42058,2010,46077
384,"Columbia, NY",42045,2010,36021
