femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,lastRefresh,hash,id,year
DR-4731-CO,4731,CO,DR,2023-08-25 00:00:00+00:00,2023,Flood,2023-06-08 00:00:00+00:00,2023-06-23 00:00:00+00:00,,False,08,119,99119,Teller (County),23081,,2023-10-02T19:21:20.859Z,f5c24bf0051b6c9079aedee03c1770ffde5fabb0,a2da5a28-1e9e-4364-9f8d-4dd1cded0d15,2023
DR-4738-GA,4738,GA,DR,2023-09-07 00:00:00+00:00,2023,Hurricane,2023-08-30 00:00:00+00:00,2023-08-30 00:00:00+00:00,,False,13,033,99033,Burke (County),23119,2023-11-06T00:00:00.000Z,2023-10-02T22:41:17.241Z,46401e80e0042efbd6a9173f07176e0305abd60c,f5f177c0-524a-4f4a-998c-549c0ad8a3c0,2023
DR-4738-GA,4738,GA,DR,2023-09-07 00:00:00+00:00,2023,Hurricane,2023-08-30 00:00:00+00:00,2023-08-30 00:00:00+00:00,,False,13,209,99209,Montgomery (County),23119,2023-11-06T00:00:00.000Z,2023-10-02T22:41:17.241Z,e08701da7234b5342d903fe7b7036bc347499b18,54aaf9e3-7f64-4cdd-a44f-fa1676892371,2023
FM-5444-TX,5444,TX,FM,2022-07-19 00:00:00+00:00,2022,Fire,2022-07-18 00:00:00+00:00,2022-08-06 00:00:00+00:00,,False,48,221,99221,Hood (County),22060,,2023-05-22T03:41:22.800Z,7daf0dad81dc2b01c582786dfa442dc33fb3b76f,57cd8ff3-7ea3-49f6-923c-0c2573fa6582,2022
FM-5444-TX,5444,TX,FM,2022-07-19 00:00:00+00:00,2022,Fire,2022-07-18 00:00:00+00:00,2022-08-06 00:00:00+00:00,,False,48,425,99425,Somervell (County),22060,,2023-05-22T03:41:22.800Z,24114e081b36e5a69aa870bae2f5f2183b6a5e5a,689b511c-20a5-4037-b326-9c7046bbb0bc,2022
FM-5443-TX,5443,TX,FM,2022-07-07 00:00:00+00:00,2022,Fire,2022-07-07 00:00:00+00:00,2022-07-16 00:00:00+00:00,,False,48,035,99035,Bosque (County),22054,,2023-05-22T03:41:22.800Z,44aff490de0a4a789f810168c117b066a2bdba61,9d62e711-dfe1-463d-a793-088912626de9,2022
FM-5471-OR,5471,OR,FM,2023-07-23 00:00:00+00:00,2023,Fire,2023-07-22 00:00:00+00:00,,,False,41,035,99035,Klamath (County),23077,,2023-07-25T16:02:04.486Z,2650eab006a74bdc18d8523f01d212899398ba50,4001b293-2c85-4e5a-a2d7-3578c9d77bad,2023
DR-4738-GA,4738,GA,DR,2023-09-07 00:00:00+00:00,2023,Hurricane,2023-08-30 00:00:00+00:00,2023-08-30 00:00:00+00:00,,False,13,279,99279,Toombs (County),23119,2023-11-06T00:00:00.000Z,2023-10-02T22:41:17.241Z,4a08c8276148f1e88daf5e4ce82151d02898f300,7c1159c5-d1ab-43d5-afb0-81af253c063c,2023
FM-5429-TX,5429,TX,FM,2022-03-20 00:00:00+00:00,2022,Fire,2022-03-20 00:00:00+00:00,2022-03-30 00:00:00+00:00,,False,48,221,99221,Hood (County),22024,,2023-05-22T03:41:22.800Z,4027b9ab49a82434d1ea588930a5e8f6790ab44f,2fb2d63c-74a5-4ff4-98a2-3fbc824c759a,2022
FM-5428-TX,5428,TX,FM,2022-03-18 00:00:00+00:00,2022,Fire,2022-03-17 00:00:00+00:00,2022-03-30 00:00:00+00:00,,False,48,133,99133,Eastland (County),22023,,2023-05-22T03:41:22.800Z,dfd8022b015faf12b99a52c8251e454c9838a725,0de32917-f8c6-4f34-9cd1-75f1ce9a9a3d,2022
DR-4738-GA,4738,GA,DR,2023-09-07 00:00:00+00:00,2023,Hurricane,2023-08-30 00:00:00+00:00,2023-08-30 00:00:00+00:00,,False,13,283,99283,Treutlen (County),23119,2023-11-06T00:00:00.000Z,2023-10-02T22:41:17.241Z,36701c15b95ae6d601e9cce3c711d44cc7f5768f,13b7185d-4f3b-487e-b23b-8c58f2a71d99,2023
FM-5426-FL,5426,FL,FM,2022-03-06 00:00:00+00:00,2022,Fire,2022-03-04 00:00:00+00:00,2022-04-01 00:00:00+00:00,,False,12,005,99005,Bay (County),22016,,2023-05-22T03:41:22.800Z,0209843daa35685a207574453a2332cadc156423,e6dbb658-83b5-4a9d-93df-8c986fc2c71c,2022
FM-5426-FL,5426,FL,FM,2022-03-06 00:00:00+00:00,2022,Fire,2022-03-04 00:00:00+00:00,2022-04-01 00:00:00+00:00,,False,12,013,99013,Calhoun (County),22016,,2023-05-22T03:41:22.800Z,c27fbfd6162075a889a080f639fadd7ced8f959a,7b122ad1-2984-4865-8c61-79d2e78875c0,2022
FM-5424-FL,5424,FL,FM,2022-03-04 00:00:00+00:00,2022,Fire,2022-03-04 00:00:00+00:00,2022-04-01 00:00:00+00:00,2022-12-15T00:00:00.000Z,False,12,005,99005,Bay (County),22014,,2023-05-22T03:41:22.800Z,20213cd6aec62b9903a451c66e1f3f522893969b,8dae1b79-6a89-492b-9fc1-13d5989c3567,2022
FM-5422-TX,5422,TX,FM,2021-12-15 00:00:00+00:00,2022,Fire,2021-12-15 00:00:00+00:00,2021-12-19 00:00:00+00:00,,False,48,065,99065,Carson (County),21127,,2023-05-22T03:41:22.800Z,71f984d2df50843648eaad8567f57323f17b2b14,38ede7ba-2566-4d88-af2d-4e1de7870e5e,2021
FM-5420-TX,5420,TX,FM,2021-12-10 00:00:00+00:00,2022,Fire,2021-12-10 00:00:00+00:00,2021-12-12 00:00:00+00:00,,False,48,485,99485,Wichita (County),21124,,2023-05-22T03:41:22.800Z,4e93a718df347f88742bc758856ff92d0406750e,b924b909-4e99-4fd8-b991-99e8efa7df8c,2021
FM-5419-CA,5419,CA,FM,2021-10-13 00:00:00+00:00,2022,Fire,2021-10-12 00:00:00+00:00,2021-11-17 00:00:00+00:00,,False,06,083,99083,Santa Barbara (County),21115,,2023-05-22T03:41:22.800Z,4e01ca291f1cf8844ed435608c4245e84b5d1608,2968a036-21c4-454f-b304-0b1072b5c4b5,2021
FM-5418-SD,5418,SD,FM,2021-10-04 00:00:00+00:00,2022,Fire,2021-10-04 00:00:00+00:00,2021-10-10 00:00:00+00:00,,False,46,103,99103,Pennington (County),21113,,2023-05-22T03:41:22.800Z,0ca8e867456ada1988793b6b02e1d52ecc742848,2a7117ae-5e64-4488-b09e-7a67ba6640b4,2021
FM-5417-CA,5417,CA,FM,2021-09-23 00:00:00+00:00,2021,Fire,2021-09-23 00:00:00+00:00,2021-09-28 00:00:00+00:00,,False,06,089,99089,Shasta (County),21107,,2023-05-22T03:41:22.800Z,038fff61cf185019e9c02cf226d348aac6129131,eb42eb50-3338-4546-a0fe-7c00b35e3fb7,2021
FM-5416-CA,5416,CA,FM,2021-08-25 00:00:00+00:00,2021,Fire,2021-08-24 00:00:00+00:00,2021-09-06 00:00:00+00:00,,False,06,029,99029,Kern (County),21088,,2023-05-22T03:41:22.800Z,d8af4a5732943510c8a586712071de2ebbd6ec91,a4e843e2-98b7-4319-9637-da8d7becbb48,2021
FM-5415-WA,5415,WA,FM,2021-08-19 00:00:00+00:00,2021,Fire,2021-08-19 00:00:00+00:00,2021-09-27 00:00:00+00:00,,False,53,077,99077,Yakima (County),21080,,2023-05-22T03:41:22.800Z,043927ef407ef17f967b1d41a24e6b0efcf20682,a18a9220-2789-4751-b89e-e830df6e3c81,2021
FM-5414-WA,5414,WA,FM,2021-08-18 00:00:00+00:00,2021,Fire,2021-08-17 00:00:00+00:00,2021-09-13 00:00:00+00:00,,False,53,007,99007,Chelan (County),21075,,2023-05-22T03:41:22.800Z,e479077b8a0a23fd1f2c2d50b5d00caff26e41d3,32e15f33-0546-4645-8837-890548a0fb3d,2021
FM-5413-CA,5413,CA,FM,2021-08-17 00:00:00+00:00,2021,Fire,2021-08-14 00:00:00+00:00,,,False,06,017,99017,El Dorado (County),21073,,2023-05-22T03:41:22.800Z,6766ff8f644b233ba059a55454d5af9c2cb90c98,975448f7-1bfa-4153-b90a-dda32de7bb6a,2021
FM-5412-CA,5412,CA,FM,2021-08-17 00:00:00+00:00,2021,Fire,2021-08-17 00:00:00+00:00,,,False,06,105,99105,Trinity (County),21072,,2023-05-22T03:41:22.800Z,a8ec678ab37bd6a3fbff10def614a49a01ead5fa,1e7d5caa-8b86-472a-9458-1522cc522f96,2021
FM-5411-WA,5411,WA,FM,2021-08-16 00:00:00+00:00,2021,Fire,2021-08-16 00:00:00+00:00,2021-08-29 00:00:00+00:00,,False,53,065,99065,Stevens (County),21071,,2023-05-22T03:41:22.800Z,4df12afccbff4e0e1661453feae1ccc198d92fd5,f5d360a0-5f3f-47e6-8d73-24f024495a5c,2021
FM-5410-WA,5410,WA,FM,2021-08-16 00:00:00+00:00,2021,Fire,2021-08-15 00:00:00+00:00,2021-09-01 00:00:00+00:00,,False,53,047,99047,Okanogan (County),21070,,2023-05-22T03:41:22.800Z,cb05d618b23f4cf384af2ac39d0397365cd1cf9b,107873b0-b126-4890-8820-87e383e65cae,2021
FM-5409-OR,5409,OR,FM,2021-08-16 00:00:00+00:00,2021,Fire,2021-08-15 00:00:00+00:00,2021-08-31 00:00:00+00:00,,False,41,037,99037,Lake (County),21069,,2023-05-22T03:41:22.800Z,5ca9ac54870f1308e62ac08ae40a6e6673e03a0a,ba6b433a-5f50-406e-b0b3-e95e02fb65af,2021
FM-5408-UT,5408,UT,FM,2021-08-14 00:00:00+00:00,2021,Fire,2021-08-14 00:00:00+00:00,2021-08-18 00:00:00+00:00,,False,49,035,99035,Salt Lake (County),21067,,2023-05-22T03:41:22.800Z,a86df80972f98c23c50d15164193e0dc5fd43f76,296f0485-026e-4f88-8120-b880ad7a0d13,2021
FM-5408-UT,5408,UT,FM,2021-08-14 00:00:00+00:00,2021,Fire,2021-08-14 00:00:00+00:00,2021-08-18 00:00:00+00:00,,False,49,043,99043,Summit (County),21067,,2023-05-22T03:41:22.800Z,37876ab6a5fe8e1c8811a32984dbf5b9e4f6505f,bc7b13fa-ae94-4f17-bd55-2cad43e19b3f,2021
FM-5407-ID,5407,ID,FM,2021-08-13 00:00:00+00:00,2021,Fire,2021-08-12 00:00:00+00:00,2021-08-17 00:00:00+00:00,,False,16,000,57340,Nez Perce Indian Reservation,21065,,2023-05-22T03:41:22.800Z,853ef57eccb3c2f73216319af49872d6cd77f466,f081cbf4-240f-4911-81f0-6cc889494382,2021
FM-5407-ID,5407,ID,FM,2021-08-13 00:00:00+00:00,2021,Fire,2021-08-12 00:00:00+00:00,2021-08-17 00:00:00+00:00,,False,16,069,99069,Nez Perce (County),21065,,2023-05-22T03:41:22.800Z,954a2f0bd39e551291fc795075f2fbf7f2b6a3a5,0f14a74a-a7cb-487c-8a8e-8eca3e0a5e72,2021
FM-5405-CA,5405,CA,FM,2021-08-05 00:00:00+00:00,2021,Fire,2021-08-04 00:00:00+00:00,,,False,06,061,99061,Placer (County),21063,,2023-05-22T03:41:22.800Z,5c1e848413e439b3eae0ef4e4e7c396aa2c6c8f9,8113a8ba-dcc6-41ec-9cdf-46a62e5d32d4,2021
FM-5404-HI,5404,HI,FM,2021-08-01 00:00:00+00:00,2021,Fire,2021-08-01 00:00:00+00:00,2021-08-03 00:00:00+00:00,,False,15,001,99001,Hawaii (County),21061,,2023-05-22T03:41:22.800Z,8a7114bd28ce6fcc00d5fa23c17f3fa0a4e65ab0,11a33d20-1b74-44ec-8de8-f57f58aad435,2021
FM-5403-MT,5403,MT,FM,2021-07-28 00:00:00+00:00,2021,Fire,2021-07-28 00:00:00+00:00,2021-07-31 00:00:00+00:00,,False,30,000,18325,Crow Indian Reservation,21060,,2023-05-22T03:41:22.800Z,55d7a3e4ab186acb5b764c6a19c745fc44f3e4de,a5d43977-054d-454d-9dc2-871f10717d78,2021
FM-5403-MT,5403,MT,FM,2021-07-28 00:00:00+00:00,2021,Fire,2021-07-28 00:00:00+00:00,2021-07-31 00:00:00+00:00,,False,30,003,99003,Big Horn (County),21060,,2023-05-22T03:41:22.800Z,27566e0514586e2288ea455f1bc6b10cd9b86111,c31b48cc-065a-4469-b047-92b1d267c7e9,2021
FM-5401-WA,5401,WA,FM,2021-07-20 00:00:00+00:00,2021,Fire,2021-07-19 00:00:00+00:00,2021-08-22 00:00:00+00:00,,False,53,047,99047,Okanogan (County),21058,,2023-05-22T03:41:22.800Z,2c6e970d8bc83eb32e18f8424e86dab3c169697b,9984c3a2-706d-4217-a959-27bd49c0652d,2021
FM-5400-CA,5400,CA,FM,2021-07-20 00:00:00+00:00,2021,Fire,2021-07-20 00:00:00+00:00,,,False,06,035,99035,Lassen (County),21056,,2023-05-22T03:41:22.800Z,175e3d36455f30551c5b7686a6b4038c593f0397,be466c80-b70f-4973-88bf-7b37d69a5d7a,2021
FM-5400-CA,5400,CA,FM,2021-07-20 00:00:00+00:00,2021,Fire,2021-07-20 00:00:00+00:00,,,False,06,063,99063,Plumas (County),21056,,2023-05-22T03:41:22.800Z,897f7eb79604f9b1e7f414b9debad4ff126f9397,9283a085-2a5c-4037-8e88-2d74015f8694,2021
FM-5398-WA,5398,WA,FM,2021-07-14 00:00:00+00:00,2021,Fire,2021-07-13 00:00:00+00:00,2021-07-20 00:00:00+00:00,,False,53,007,99007,Chelan (County),21054,,2023-05-22T03:41:22.800Z,0ff4e0ad2c26c3eaa8e051364240143c47c7fdc9,8ba2aaf9-80e7-4ee0-a85b-b671266f66b0,2021
FM-5397-WA,5397,WA,FM,2021-07-13 00:00:00+00:00,2021,Fire,2021-07-12 00:00:00+00:00,2021-07-26 00:00:00+00:00,,False,53,000,14240,Colville Indian Reservation,21052,,2023-05-22T03:41:22.800Z,7d3429436818bec4eda12849316d4a28cb0379f7,bc139c61-956e-4479-983d-8173fdee7250,2021
FM-5396-OR,5396,OR,FM,2021-07-10 00:00:00+00:00,2021,Fire,2021-07-10 00:00:00+00:00,2021-08-15 00:00:00+00:00,,False,41,035,99035,Klamath (County),21053,,2023-05-22T03:41:22.800Z,9054d6faf6ec7d7efea1979e0b1db1a47003440e,9c223822-8f7d-4a36-9b02-0166c12c4b08,2021
FM-5396-OR,5396,OR,FM,2021-07-10 00:00:00+00:00,2021,Fire,2021-07-10 00:00:00+00:00,2021-08-15 00:00:00+00:00,,False,41,037,99037,Lake (County),21053,,2023-05-22T03:41:22.800Z,50ce3d22f0399ba25d0491aafa41a4d548905517,3b3139f3-ba50-457d-bab4-0df6b26b81f1,2021
FM-5395-WA,5395,WA,FM,2021-07-06 00:00:00+00:00,2021,Fire,2021-07-05 00:00:00+00:00,2021-07-11 00:00:00+00:00,,False,53,063,99063,Spokane (County),21050,,2023-05-22T03:41:22.800Z,78fd58344175ba06ed293e59ef88dfa99807529a,702d0659-fe8c-4098-bb40-c9087d72ffc3,2021
FM-5394-OR,5394,OR,FM,2021-06-30 00:00:00+00:00,2021,Fire,2021-06-29 00:00:00+00:00,2021-06-30 00:00:00+00:00,,False,41,017,99017,Deschutes (County),21048,,2023-05-22T03:41:22.800Z,80e220b218e4d4c81a44a772ba17a8ce1613db0f,5c07bc4b-bf63-4ed5-8847-c83d12cdf9e1,2021
FM-5393-CA,5393,CA,FM,2021-06-29 00:00:00+00:00,2021,Fire,2021-06-24 00:00:00+00:00,2021-07-06 00:00:00+00:00,,False,06,093,99093,Siskiyou (County),21047,,2023-05-22T03:41:22.800Z,9b2a17fc5114a279200637f99ada991e7ba685cf,7ff6879b-daed-4f38-973f-d63ffd2171e3,2021
FM-5392-MT,5392,MT,FM,2021-06-16 00:00:00+00:00,2021,Fire,2021-06-15 00:00:00+00:00,2021-06-20 00:00:00+00:00,,False,30,009,99009,Carbon (County),21045,,2023-05-22T03:41:22.800Z,5d51aa6173ac4993543ab9131c032cd9fd991e56,2fcf82d4-ba86-4c78-9e9a-81e007a3381a,2021
FM-5391-UT,5391,UT,FM,2021-06-10 00:00:00+00:00,2021,Fire,2021-06-10 00:00:00+00:00,2021-06-26 00:00:00+00:00,,False,49,037,99037,San Juan (County),21044,,2023-05-22T03:41:22.800Z,5136b94c5adeb68101bea72818f29117f9a9e03b,fef71538-5d2d-49a9-a4c7-66bebdabd58e,2021
FM-5388-UT,5388,UT,FM,2021-06-05 00:00:00+00:00,2021,Fire,2021-06-05 00:00:00+00:00,2021-06-13 00:00:00+00:00,,False,49,017,99017,Garfield (County),21042,,2023-05-22T03:41:22.800Z,5fe6db92c6b30bc1d9a2d9da3dd95def95d5b97c,98be8c83-40d2-40fc-a807-9de756116209,2021
FM-5386-NM,5386,NM,FM,2021-04-27 00:00:00+00:00,2021,Fire,2021-04-26 00:00:00+00:00,,,False,35,027,99027,Lincoln (County),21035,,2023-05-22T03:41:22.800Z,f012f33d5224f6963e022465b97289556f6d03fd,66c6747f-dd92-439a-b643-a978dce8f2cd,2021
FM-5384-SD,5384,SD,FM,2021-03-29 00:00:00+00:00,2021,Fire,2021-03-29 00:00:00+00:00,2021-04-04 00:00:00+00:00,,False,46,103,99103,Pennington (County),21022,,2023-05-22T03:41:22.800Z,b5ec13e873809b9b671854b7cb9c893502a726f8,8b0d3509-1078-4134-b0fc-073fead80b09,2021
FM-5383-CA,5383,CA,FM,2020-12-03 00:00:00+00:00,2021,Fire,2020-12-03 00:00:00+00:00,,,False,06,059,99059,Orange (County),20326,,2023-05-22T03:41:22.800Z,a45aceb22913ef434630efee495fb7b77a994cf5,e80c79df-f1f3-4968-8606-e51f1a9d416a,2020
FM-5382-NV,5382,NV,FM,2020-11-17 00:00:00+00:00,2021,Fire,2020-11-17 00:00:00+00:00,2020-11-18 00:00:00+00:00,,False,32,031,99031,Washoe (County),20323,,2023-05-22T03:41:22.800Z,55bf5ce45bd491951f846653cee0c5095ddea2f8,19a246a6-be70-455a-9b74-100f75a7fdd5,2020
FM-5381-CA,5381,CA,FM,2020-10-26 00:00:00+00:00,2021,Fire,2020-10-26 00:00:00+00:00,,,False,06,059,99059,Orange (County),20317,,2023-05-22T03:41:22.800Z,2087e58afc716adba6dc3d0f31b5abd16823dd5a,59532f04-6929-4749-bae7-e8988881356d,2020
FM-5381-CA,5381,CA,FM,2020-10-26 00:00:00+00:00,2021,Fire,2020-10-26 00:00:00+00:00,,,False,06,065,99065,Riverside (County),20317,,2023-05-22T03:41:22.800Z,4f656e6c9524a66997d9db3c4958e2c88bb5a4ca,2a65f8b5-aeb4-428c-9661-fa8143933fa3,2020
FM-5381-CA,5381,CA,FM,2020-10-26 00:00:00+00:00,2021,Fire,2020-10-26 00:00:00+00:00,,,False,06,071,99071,San Bernardino (County),20317,,2023-05-22T03:41:22.800Z,382f3bfd1957f2501e246fcee5b11f5da3925c83,3c7206fb-74f4-434e-af91-8407de4fd6b8,2020
FM-5380-CA,5380,CA,FM,2020-10-26 00:00:00+00:00,2021,Fire,2020-10-26 00:00:00+00:00,,,False,06,059,99059,Orange (County),20316,,2023-05-22T03:41:22.800Z,9b1088589054f2c2c23280cf7cf68c4a85196bf1,9b621551-9426-4850-ae84-a46e92e27965,2020
FM-5379-CO,5379,CO,FM,2020-10-17 00:00:00+00:00,2021,Fire,2020-10-17 00:00:00+00:00,2020-10-24 00:00:00+00:00,,False,08,013,99013,Boulder (County),20314,,2023-05-22T03:41:22.800Z,f6fa3ec7349c164a17d20917e8bac72c13cdc31c,bdc973b3-d75e-46e9-9b65-a79c962d248a,2020
FM-5378-CO,5378,CO,FM,2020-10-17 00:00:00+00:00,2021,Fire,2020-10-17 00:00:00+00:00,2020-11-05 00:00:00+00:00,,False,08,049,99049,Grand (County),20313,,2023-05-22T03:41:22.800Z,e39b784135daa668929ff8cb2c4ed82ad520972e,b8ecf077-bd0a-4e6a-949f-a68e743c09c2,2020
FM-5377-CA,5377,CA,FM,2020-09-28 00:00:00+00:00,2020,Fire,2020-09-28 00:00:00+00:00,,,False,06,089,99089,Shasta (County),20301,,2023-05-22T03:41:22.800Z,8878a400018b80ec8365196b8d67dd3304ea5678,62aefaab-dc30-4502-b497-33f3d288346b,2020
FM-5376-CA,5376,CA,FM,2020-09-27 00:00:00+00:00,2020,Fire,2020-09-27 00:00:00+00:00,,,False,06,055,99055,Napa (County),20300,,2023-05-22T03:41:22.800Z,9c1cdafb212e863ea844807d4847456f416cfd8b,1027db82-7fc4-4c52-8cd7-5f8dc7f1eb8e,2020
FM-5376-CA,5376,CA,FM,2020-09-27 00:00:00+00:00,2020,Fire,2020-09-27 00:00:00+00:00,,,False,06,097,99097,Sonoma (County),20300,,2023-05-22T03:41:22.800Z,fce9e40ac29a3a018d0e497626987cac5c9950a1,95d2491f-8028-41c6-b961-a0f5424642fe,2020
FM-5375-WY,5375,WY,FM,2020-09-26 00:00:00+00:00,2020,Fire,2020-09-25 00:00:00+00:00,2020-10-19 00:00:00+00:00,,False,56,001,99001,Albany (County),20299,,2023-05-22T03:41:22.800Z,a49d499e649f559e6d49b585bdddef64feaa6fff,51fffcdf-8ed5-4a84-af04-e3d31a9ae929,2020
FM-5375-WY,5375,WY,FM,2020-09-26 00:00:00+00:00,2020,Fire,2020-09-25 00:00:00+00:00,2020-10-19 00:00:00+00:00,,False,56,007,99007,Carbon (County),20299,,2023-05-22T03:41:22.800Z,96f91a8140090c072a5d0d5891714934bab6111a,b2be6af8-f21b-4cba-853c-ca3d88e66f62,2020
FM-5374-CA,5374,CA,FM,2020-09-13 00:00:00+00:00,2020,Fire,2020-09-13 00:00:00+00:00,,,False,06,037,99037,Los Angeles (County),20289,,2023-05-22T03:41:22.800Z,01ca8e62302901be8ab813d4884f131becd76fe8,21a8f9af-7a5f-4cd3-8a38-e51023ab9fc0,2020
FM-5373-CA,5373,CA,FM,2020-09-13 00:00:00+00:00,2020,Fire,2020-09-13 00:00:00+00:00,,,False,06,107,99107,Tulare (County),20294,,2023-05-22T03:41:22.800Z,e84abaa7c59c137454a86dfd65add2c168b72cda,22f1ad73-1e02-4fbe-96cb-0505bf79eed3,2020
FM-5372-OR,5372,OR,FM,2020-09-12 00:00:00+00:00,2020,Fire,2020-09-12 00:00:00+00:00,2020-09-29 00:00:00+00:00,,False,41,037,99037,Lake (County),20290,,2023-05-22T03:41:22.800Z,b802d2de844dd2090db6b1ed0720839ee8fd41b4,538a9e31-2c5e-42f8-b47c-0ea9b5ce667c,2020
FM-5371-OR,5371,OR,FM,2020-09-10 00:00:00+00:00,2020,Fire,2020-09-08 00:00:00+00:00,2020-09-15 00:00:00+00:00,,False,41,067,99067,Washington (County),20286,,2023-05-22T03:41:22.800Z,8fdaa9215dbec95a6741ce5b9202e5a59397577d,83e615bf-21a1-4a67-b318-f032d8049620,2020
